year,country,iso,value,note,source
2020,Bahrain,BHR,40.5263,,Telecommunications Regulatory Authority (TRA)
2021,Germany,DEU,19.4488,,Statistisches Bundesamt (Destatis)
2021,Denmark,DNK,22.3199,,Statistics Denmark
2019,Egypt,EGY,39.0801,,Ministry of Communications and Information Technology
2020,Egypt,EGY,44.5801,,Ministry of Communications and Information Technology
2020,Kuwait,KWT,47.3601,,Communication and Information Technology Regulatory Authority
2019,Lesotho,LSO,1.26115,,Bureau of Statistics
2021,Latvia,LVA,19.362,,Central Statistical Bureau of Latvia
2020,Morocco,MAR,18.0417,,Agence Nationale de Réglementation des Télécommunications
2021,Norway,NOR,37,,Statistics Norway
2020,United Arab Emirates,ARE,60.3,,Telecommunications & Digital Gevernment Regulatory Authority
