year,country,iso,value,note,source
2016,Saudi Arabia,SAU,3.47792,,CITC
2018,Saudi Arabia,SAU,19.4545,,Communication and Information Technology Commission
2019,Saudi Arabia,SAU,13.6209,,Communications andI nformation Technology Commision
2018,Bahrain,BHR,28.4928,,Telecommunications Regulatory Authority (TRA)
2018,Belarus,BLR,3.25882,,Национальный статистический комитет Республики Беларусь
2019,Belarus,BLR,2.9887,,Национальный статистический комитет Республики Беларусь
2020,Belarus,BLR,3.24908,,Национальный статистический комитет Республики Беларусь
2020,China,CHN,2.27374,,National Bureau of Statistics of China
2018,Colombia,COL,5.15024,,Departamento Administrativo Nacional de Estadística - DANE
2019,Cabo Verde,CPV,6.36064,,INSTITUTO NACIONAL DE ESTATISTICA
2019,Côte d'Ivoire,CIV,1.00926,,ARTCI
2015,Egypt,EGY,2.72464,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2016,Egypt,EGY,1.46634,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2017,Egypt,EGY,0.739533,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2018,Egypt,EGY,1.26774,,Ministry of Communications and Information Technology
2019,Egypt,EGY,0.724034,,Ministry of Communications and Information Technology
2020,Egypt,EGY,0.724034,,Ministry of Communications and Information Technology
2015,Iran (Islamic Republic of),IRN,9.6721,,Statistical Centre of Iran
2017,Iran (Islamic Republic of),IRN,10.4182,,Statistical Centre of Iran
2017,Jamaica,JAM,8.05688,,Statistical Institute of Jamaica
2015,Kenya,KEN,9.70226,,KENYA NATIONAL BUREAU OF STATISTICS
2016,Lesotho,LSO,3.45021,,
2020,Mexico,MEX,1.44055,,Instituto Nacional de Estadística y Geografía (INEGI)
2016,Morocco,MAR,4.8,,Agence Nationale de Réglementation des Télécommunications (ANRT)
2017,Morocco,MAR,8.99494,,Agence Nationale de Réglementation des Télécommunications (ANRT)
2018,Morocco,MAR,10.2291,,Agence Nationale de Réglementation des Télécommunications (ANRT)
2016,Oman,OMN,2.27715,,Information Technology Authority (ITA) 
2018,Qatar,QAT,10.7962,,Ministry Of Transport and Communications
2017,Singapore,SGP,0.456381,,Infocomm Media Development Authority
2019,Thailand,THA,0.489732,,National Statistical Office of Thailand
2020,Thailand,THA,0.313932,,National Statistical Office of Thailand
2020,Ukraine,UKR,0.0956586,,State Statistics Service of Ukraine
2018,Uzbekistan,UZB,9.19256,,The State Committee of the Republic of Uzbekistan on Statistics
2020,Uzbekistan,UZB,4.49827,,The State Committee of the Republic of Uzbekistan on Statistics
2020,Zimbabwe,ZWE,5.22394,,Zimbabwe National Statistics Agency (ZIMSTAT)
2019,Georgia,GEO,2.79758,,National Statistics Office of Georgia - Geostat
2020,Georgia,GEO,3.08344,,National Statistics Office of Georgia - Geostat
2017,Kazakhstan,KAZ,10.6991,,Ministry of National Economy of the Republic of Kazakhstan Committee on Statistics
2018,Kazakhstan,KAZ,8.29163,,Ministry of National Economy of the Republic of Kazakhstan Committee on Statistics
2019,Kazakhstan,KAZ,7.56788,,Ministry of National Economy of the Republic of Kazakhstan Committee on Statistics
2020,Kazakhstan,KAZ,6.47271,,Agency for Strategic planning and reforms of the Republic of Kazakhstan Bureau of National statistics
