year,country,iso,value,note,source
2019,Afghanistan,AFG,None,,
2019,Armenia,ARM,None,,
2020,Armenia,ARM,None,,
2019,Saudi Arabia,SAU,Regulatory holidays/ breaks,,
2020,Saudi Arabia,SAU,Regulatory sandboxes/ digital experimentation space,,
2019,Australia,AUS,None,,
2020,Australia,AUS,None,,
2019,Austria,AUT,"Temporary licences (e.g., spectrum, numbers) /licence-exempt regime for certain services",,
2020,Brazil,BRA,"Temporary licences (e.g., spectrum, numbers) /licence-exempt regime for certain services",,
2019,Bahamas,BHS,None,,
2020,Bahamas,BHS,None,,
2019,Burundi,BDI,None,,
2020,Burundi,BDI,None,,
2019,Belgium,BEL,Regulatory holidays/ breaks,,
2020,Belgium,BEL,Regulatory holidays/ breaks,,
2019,Benin,BEN,Authorization for pilot projects,,
2020,Benin,BEN,Authorization for pilot projects,,
2020,Bangladesh,BGD,None,,
2020,Belarus,BLR,Regulatory holidays/ breaks,,
2019,Botswana,BWA,None,,
2019,Myanmar,MMR,None,,
2019,Cambodia,KHM,Other,,
2020,Cambodia,KHM,None,,
2019,Colombia,COL,Other,,
2019,Sri Lanka,LKA,None,,
2020,Sri Lanka,LKA,Other,,
2019,Cameroon,CMR,None,,
2020,Cameroon,CMR,None,,
2019,Congo (Rep. of the),COG,None,,
2020,Congo (Rep. of the),COG,"Temporary licences (e.g., spectrum, numbers) /licence-exempt regime for certain services",,
2020,Comoros,COM,None,,
2019,Costa Rica,CRI,Other,,
2020,Costa Rica,CRI,Other,,
2020,Cyprus,CYP,Other,,
2019,Germany,DEU,None,,
2020,Germany,DEU,Authorization for pilot projects,,
2019,Denmark,DNK,"Temporary licences (e.g., spectrum, numbers) /licence-exempt regime for certain services",,
2019,Dominican Rep.,DOM,None,,
2019,Spain,ESP,None,,
2020,Spain,ESP,None,,
2020,Egypt,EGY,"Temporary licences (e.g., spectrum, numbers) /licence-exempt regime for certain services",,
2020,Ecuador,ECU,None,,
2019,Estonia,EST,None,,
2020,Estonia,EST,"Temporary licences (e.g., spectrum, numbers) /licence-exempt regime for certain services",,
2019,France,FRA,Authorization for pilot projects,,
2020,France,FRA,Authorization for pilot projects,,
2020,Finland,FIN,None,,
2019,Micronesia,FSM,None,,
2020,Micronesia,FSM,None,,
2019,United Kingdom,GBR,None,,
2020,Equatorial Guinea,GNQ,None,,
2020,Greece,GRC,None,,
2020,Guatemala,GTM,None,,
2019,Guyana,GUY,None,,
2020,Guyana,GUY,None,,
2019,Netherlands,NLD,Regulatory sandboxes/ digital experimentation space,,
2020,India,IND,Other,,
2020,Ireland,IRL,"Temporary licences (e.g., spectrum, numbers) /licence-exempt regime for certain services",,
2019,Israel,ISR,None,,
2020,Israel,ISR,None,,
2020,Jordan,JOR,"Temporary licences (e.g., spectrum, numbers) /licence-exempt regime for certain services",,
2019,Kenya,KEN,Authorization for pilot projects,,
2020,Kenya,KEN,Other,,
2020,Korea (Rep. of),KOR,None,,
