year,country,iso,value,note,source
2019,Albania,ALB,56.7989,,INSTAT (Institute of Statistics)
2020,Albania,ALB,56.4684,,INSTAT (Institute of Statistics)
2018,Algeria,DZA,55.7402,,"Ministry of Post, Telecommunications, Technologies and Digital"
2016,Saudi Arabia,SAU,33.6668,,CITC
2017,Saudi Arabia,SAU,31.4348,,Communication and Information Technology Commission (CITC)
2018,Saudi Arabia,SAU,41.0002,,Communication and Information Technology Commission
2019,Saudi Arabia,SAU,36.0393,,Communications andI nformation Technology Commision
2011,Australia,AUS,82.6882,"Refers to Internet use from home only. Estimate taken from ""Research, news and general browsing"" category.",Australian Bureau of Statistics
2002,Austria,AUT,27.8279,Users in the last 3 months.,Eurostat
2003,Austria,AUT,39.1663,Users in the last 3 months.,Eurostat
2004,Austria,AUT,29.5986,Users in the last 3 months.,Eurostat
2005,Austria,AUT,35.8731,Users in the last 3 months.,Eurostat
2006,Austria,AUT,41.4692,Users in the last 3 months.,Eurostat
2007,Austria,AUT,34.151,Users in the last 3 months.,Eurostat
2008,Austria,AUT,40.8068,Users in the last 3 months.,Eurostat
2009,Austria,AUT,56.2551,Users in the last 3 months.,Eurostat
2010,Austria,AUT,57.6183,Users in the last 3 months.,Eurostat
2011,Austria,AUT,53.2385, Users in the last 3 months.,Eurostat
2012,Austria,AUT,57.1806, Users in the last 3 months.,Eurostat
2013,Austria,AUT,50.7306,,Eurostat
2014,Austria,AUT,66.9293,,Eurostat
2015,Austria,AUT,67.3844,,Eurostat
2016,Austria,AUT,66.1198,,Statistics Austria
2017,Austria,AUT,71.1697,,Statistics Austria
2008,Azerbaijan,AZE,6.91443,,State Statistical Committee
2009,Azerbaijan,AZE,9.53382,,State Statistical Committee
2010,Azerbaijan,AZE,6.23055,,State Statistical Committee
2017,Azerbaijan,AZE,6.2,,State Statistical Committee
2018,Azerbaijan,AZE,6.2,,State Statistical Committee
2019,Azerbaijan,AZE,6.3,,State Statistical Committee
2020,Azerbaijan,AZE,6.1,,State Statistical Committee
2009,Brazil,BRA,43.7775,In the last 3 months.,Brazilian Steering Committee
2010,Brazil,BRA,39.8182,"Information available only for the period ""in the last 3 months"".",
2013,Brazil,BRA,41.6462,,NIC.br
2014,Brazil,BRA,53.4352,,NIC.br
2016,Brazil,BRA,49.7626,,NIC.br
2017,Brazil,BRA,54.548,,NIC.br
2018,Brazil,BRA,55.7823,,NIC.br
2019,Brazil,BRA,56.3203,,NIC.br
2020,Brazil,BRA,64.087,,NIC.br
2005,Belgium,BEL,21.5476,Users in the last 3 months.,Eurostat
2006,Belgium,BEL,24.6705,Users in the last 3 months.,Eurostat
2007,Belgium,BEL,24.3836,Users in the last 3 months.,Eurostat
2008,Belgium,BEL,29.3144,Users in the last 3 months.,Eurostat
