year,country,iso,value,note,source
2019,Albania,ALB,50.1802,,INSTAT (Institute of Statistics)
2020,Albania,ALB,51.9493,,INSTAT (Institute of Statistics)
2018,Algeria,DZA,47.8365,,"Ministry of Post, Telecommunications, Technologies and Digital"
2016,Saudi Arabia,SAU,46.933,,CITC
2017,Saudi Arabia,SAU,75.2698,,Communication and Information Technology Commission (CITC)
2018,Saudi Arabia,SAU,82.7037,,Communication and Information Technology Commission
2019,Saudi Arabia,SAU,70.9278,,Communications andI nformation Technology Commision
2002,Austria,AUT,41.8543,Users in the last 3 months.,Eurostat
2003,Austria,AUT,65.0087,Users in the last 3 months.,Eurostat
2004,Austria,AUT,65.7596,Users in the last 3 months.,Eurostat
2005,Austria,AUT,71.6332,Users in the last 3 months.,Eurostat
2006,Austria,AUT,74.5649,Users in the last 3 months.,Eurostat
2007,Austria,AUT,68.1815,Users in the last 3 months.,Eurostat
2008,Austria,AUT,70.2365,Users in the last 3 months.,Eurostat
2009,Austria,AUT,73.4086,Users in the last 3 months.,Eurostat
2010,Austria,AUT,76.904,Users in the last 3 months.,Eurostat
2011,Austria,AUT,79.3497, Users in the last 3 months.,Eurostat
2012,Austria,AUT,88.2816, Users in the last 3 months.,Eurostat
2013,Austria,AUT,83.5928,,Eurostat
2014,Austria,AUT,85.0245,,Eurostat
2015,Austria,AUT,73.8305,,Eurostat
2016,Austria,AUT,83.399,,Statistics Austria
2017,Austria,AUT,71.1159,,Statistics Austria
2018,Austria,AUT,69.4925,,Statistics Austria
2008,Azerbaijan,AZE,8.98075,,State Statistical Committee
2009,Azerbaijan,AZE,12.0573,,State Statistical Committee
2010,Azerbaijan,AZE,8.33293,,State Statistical Committee
2017,Azerbaijan,AZE,15.3,,State Statistical Committee
2018,Azerbaijan,AZE,10.2,,State Statistical Committee
2019,Azerbaijan,AZE,15.3,,State Statistical Committee
2020,Azerbaijan,AZE,15.2,,State Statistical Committee
2009,Brazil,BRA,60.8401,In the last 3 months.,Brazilian Steering Committee
2010,Brazil,BRA,53.3085,"Information available only for the period ""in the last 3 months"".",
2013,Brazil,BRA,64.8496,,NIC.br
2014,Brazil,BRA,63.2556,,NIC.br
2016,Brazil,BRA,59.0993,,NIC.br
2017,Brazil,BRA,57.4648,,NIC.br
2018,Brazil,BRA,55.3633,,NIC.br
2019,Brazil,BRA,58.6443,,NIC.br
2005,Belgium,BEL,72.093,Users in the last 3 months.,Eurostat
2006,Belgium,BEL,78.8846,Users in the last 3 months.,Eurostat
2007,Belgium,BEL,79.1611,Users in the last 3 months.,Eurostat
2008,Belgium,BEL,80.7071,Users in the last 3 months.,Eurostat
2009,Belgium,BEL,77.7964,Users in the last 3 months.,Eurostat
2010,Belgium,BEL,78.4457,Users in the last 3 months.,Eurostat
2012,Belgium,BEL,80.945, Users in the last 3 months.,Eurostat
2013,Belgium,BEL,81.061,,Eurostat
2014,Belgium,BEL,83.8901,,Eurostat
2015,Belgium,BEL,82.0571,,Eurostat
2016,Belgium,BEL,83.4942,,Algemene Directie Statistiek - Statistics Belgium Direction Générale Statistique - Statistics Belgium
2017,Belgium,BEL,83.8864,,Statbel (Algemene Directie Statistiek - Statistics Belgium) Statbel (Direction générale Statistique - Statistics Belgium)
2019,Belgium,BEL,84.3885,,Statistics Belgium (Statbel)
2020,Belgium,BEL,84.7201,,Statistics Belgium (Statbel)
2013,Bangladesh,BGD,13.9437,,Bangladesh Bureau of Statistics (BBS)
2008,Bahrain,BHR,26.0206,,Telecommunications Regulatory Authority
2011,Bahrain,BHR,40.8306,Estimated based on TRA 2011 Residential consumer survey,Telecommunications Regulatory Authority (TRA)
2012,Bahrain,BHR,40.83,Estimated based on TRA 2011 Residential consumer survey,Telecommunications Regulatory Authority (TRA)
2013,Bahrain,BHR,60.2621,,Telecommunications Regulatory Authority (TRA)
2014,Bahrain,BHR,62.488,,Telecommunications Regulatory Authority (TRA)
2015,Bahrain,BHR,40.2505,,Telecommunications Regulatory Authority (TRA) Bahrain
2016,Bahrain,BHR,61.1238,,Telecommunications Regulatory Authority (TRA)
2017,Bahrain,BHR,44.7697,,Telecommunications Regulatory Authority (TRA)
2018,Bahrain,BHR,26.9752,,Telecommunications Regulatory Authority (TRA)
2019,Bahrain,BHR,74.6108,,Telecommunications Regulatory Authority (TRA)
2020,Bahrain,BHR,48.2508,,Telecommunications Regulatory Authority (TRA)
2010,Belarus,BLR,31.0875,all individuals aged 16 and over,National Statistical Committee of the Republic of Belarus
2011,Belarus,BLR,31.7821,obtaining any kind of information ,National Statistical Committee of the Republic of Belarus
2012,Belarus,BLR,38.0842,receipt of any information,National Statistical Committee of the Republic of Belarus
2013,Belarus,BLR,86.6997,,Национальный статистический комитет Республики Беларусь
2014,Belarus,BLR,90.8311,,Национальный статистический комитет Республики Беларусь
2015,Belarus,BLR,91.7293,,Национальный статистический комитет Республики Беларусь
2016,Belarus,BLR,91.7778,,Национальный статистический комитет Республики Беларусь
2017,Belarus,BLR,93.4096,,Национальный статистический комитет Республики Беларусь
2018,Belarus,BLR,93.2899,,Национальный статистический комитет Республики Беларусь
2019,Belarus,BLR,93.6118,,Национальный статистический комитет Республики Беларусь
2020,Belarus,BLR,92.4693,,Национальный статистический комитет Республики Беларусь
2018,Bolivia (Plurinational State of),BOL,17.0774,,Statistic National Institute
2014,Botswana,BWA,33.1191,,Statistics Botswana
2004,Bulgaria,BGR,44.0114,Users in the last 3 months.,Eurostat
2006,Bulgaria,BGR,49.7816,Users in the last 3 months.,Eurostat
2007,Bulgaria,BGR,51.3115,Users in the last 3 months.,Eurostat
2008,Bulgaria,BGR,54.6566,Users in the last 3 months.,Eurostat
2009,Bulgaria,BGR,38.776,Users in the last 3 months.,Eurostat
2010,Bulgaria,BGR,57.1007,Users in the last 3 months.,Eurostat
2011,Bulgaria,BGR,57.5448, Users in the last 3 months.,Eurostat
2012,Bulgaria,BGR,68.9382, Users in the last 3 months.,Eurostat
2013,Bulgaria,BGR,65.7224,,Eurostat
2014,Bulgaria,BGR,74.3799,,Eurostat
2016,Bulgaria,BGR,64.5466,,National Statistical Institute
2017,Bulgaria,BGR,62.0386,,National Statistical Institute
2018,Bulgaria,BGR,66.3836,,National Statistical Institute
2019,Bulgaria,BGR,55.8372,,National Statistical Institute
2020,Bulgaria,BGR,71.315,,National Statistical Institute
2007,Canada,CAN,59.153,,Statistics Canada
2009,Canada,CAN,64.3836,"Preliminarly. Refers to window shopping for goods or services over the Internet from any location (for personal or household use, not business use).",Statistics Canada
2010,Canada,CAN,73.9191,"Refers to window shopping or browsing for goods or services over the Internet from any location (for personal or household use, not business use).",Statistics Canada
2003,Chile,CHL,79.9785,To get information,Ministerio de Planificación
2006,Chile,CHL,90.8559,,Ministerio de Planificación
2009,Chile,CHL,85.1004,,Ministerio de Planificación
2010,Colombia,COL,74.3671,"La categoría relacionada en la encuesta se denomina ""obtener información""; sin desagregar por el tipo de información que se busca o se obtiene a través de Internet.",Departamento Administrativo Nacional de Estadística - DANE
2011,Colombia,COL,74.3462,"La categoría relacionada en la encuesta se denomina ""obtener información"", lo cual comprende: búsqueda y consulta de información sobre bienes o servicios, sobre salud o servicios médicos y sobre organizaciones gubernamentales en general. ",Departamento Administrativo Nacional de Estadística - DANE
2012,Colombia,COL,56.2607,"Includes goods and services, health and governement informations. Excludes education and learning informations.",Departamento Administrativo Nacional de Estadística - DANE
2013,Colombia,COL,52.9117,,Departamento Administrativo Nacional de Estadística - DANE
2014,Colombia,COL,61.661,,Departamento Administrativo Nacional de Estadística - DANE
2015,Colombia,COL,62.9911,,Departamento Administrativo Nacional de Estadística - DANE
2016,Colombia,COL,65.9189,,Departamento Administrativo Nacional de Estadística - DANE
2017,Colombia,COL,63.1724,,Departamento Administrativo Nacional de Estadística - DANE
2018,Colombia,COL,59.3272,,Departamento Administrativo Nacional de Estadística - DANE
2019,Côte d'Ivoire,CIV,17.8762,,ARTCI
2008,Costa Rica,CRI,76.4287,,Instituto Nacional de Estadística y Censos
2017,Cuba,CUB,1.71514,,ONEI
2019,Cuba,CUB,1.89903,,Oficina Nacional de Estadisticas e Informacion
2004,Cyprus,CYP,63.2706,Users in the last 3 months.,Eurostat
2005,Cyprus,CYP,74.4581,Users in the last 3 months.,Eurostat
2006,Cyprus,CYP,74.6885,Users in the last 3 months.,Eurostat
2007,Cyprus,CYP,79.45,Users in the last 3 months.,Eurostat
2008,Cyprus,CYP,74.5336,Users in the last 3 months.,Eurostat
2009,Cyprus,CYP,78.1595,Users in the last 3 months.,Eurostat
2010,Cyprus,CYP,88.2583,Users in the last 3 months.,Eurostat
2011,Cyprus,CYP,84.9278, Users in the last 3 months.,Eurostat
2012,Cyprus,CYP,90.6341, Users in the last 3 months.,Eurostat
2013,Cyprus,CYP,85.7318,,Eurostat
2014,Cyprus,CYP,89.0499,,Eurostat
2015,Cyprus,CYP,74.7832,,Eurostat
2016,Cyprus,CYP,81.0768,,STATISTICAL SERVICE OF CYPRUS
2018,Cyprus,CYP,85.1236,,STATISTICAL SERVICE OF CYPRUS
2019,Cyprus,CYP,83.1544,,STATISTICAL SERVICE OF CYPRUS
2020,Cyprus,CYP,86.2449,,Statistical Service of Cyprus
2002,Germany,DEU,70.2784,Users in the last 3 months.,Eurostat
2003,Germany,DEU,84.6758,Users in the last 3 months.,Eurostat
2004,Germany,DEU,80.6825,Users in the last 3 months.,Eurostat
2006,Germany,DEU,82.9987,Users in the last 3 months.,Eurostat
2007,Germany,DEU,84.3792,Users in the last 3 months.,Eurostat
2008,Germany,DEU,85.0016,Users in the last 3 months.,Eurostat
2009,Germany,DEU,87.4735,Users in the last 3 months.,Eurostat
2010,Germany,DEU,87.8825,Users in the last 3 months.,Eurostat
2011,Germany,DEU,86.1942, Users in the last 3 months.,Eurostat
2012,Germany,DEU,90.7148, Users in the last 3 months.,Eurostat
2013,Germany,DEU,91.6934,,Eurostat
2014,Germany,DEU,92.0258,,Eurostat
2015,Germany,DEU,91.7876,,Eurostat
2016,Germany,DEU,82.6374,,Eurostat
2017,Germany,DEU,89.5706,,Federal Statistical Office
2019,Germany,DEU,88.8121,,Statistisches Bundesamt (Destatis)
2020,Germany,DEU,54.7705,,Statistisches Bundesamt (Destatis)
2021,Germany,DEU,66.6434,,Statistisches Bundesamt (Destatis)
2002,Denmark,DNK,76.5326,Users in the last 3 months.,Eurostat
2003,Denmark,DNK,75.0693,Users in the last 3 months.,Eurostat
2004,Denmark,DNK,72.7502,Users in the last 3 months.,Eurostat
2005,Denmark,DNK,75.7059,Users in the last 3 months.,Eurostat
2006,Denmark,DNK,78.2729,Users in the last 3 months.,Eurostat
2007,Denmark,DNK,79.4176,Users in the last 3 months.,Eurostat
2008,Denmark,DNK,85.6504,Users in the last 3 months.,Eurostat
2009,Denmark,DNK,85.3307,Users in the last 3 months.,Eurostat
2010,Denmark,DNK,88.4111,Users in the last 3 months.,Eurostat
2011,Denmark,DNK,79.7127, Users in the last 3 months.,Eurostat
2012,Denmark,DNK,88.3864, Users in the last 3 months.,Eurostat
2013,Denmark,DNK,86.8249,,Eurostat
2014,Denmark,DNK,87.3128,,Eurostat
2015,Denmark,DNK,80.1135,,Eurostat
2016,Denmark,DNK,89.0107,,Eurostat
2017,Denmark,DNK,81.6783,,Statistics Denmark 
2018,Denmark,DNK,90.19,,Statistics Denmark 
2020,Denmark,DNK,89.3112,,Statistics Denmark
2021,Denmark,DNK,86.4406,,Statistics Denmark
2002,Spain,ESP,49.3854,Users in the last 3 months.,Eurostat
2003,Spain,ESP,81.8487,Users in the last 3 months.,Eurostat
2004,Spain,ESP,67.4149,Users in the last 3 months.,Eurostat
2005,Spain,ESP,69.0773,Users in the last 3 months.,Eurostat
2006,Spain,ESP,75.2727,Users in the last 3 months.,Eurostat
2007,Spain,ESP,75.6031,Users in the last 3 months.,Eurostat
2008,Spain,ESP,77.7887,Users in the last 3 months.,Eurostat
2009,Spain,ESP,74.9503,Users in the last 3 months.,Eurostat
2010,Spain,ESP,81.7868,Users in the last 3 months.,Eurostat
2011,Spain,ESP,70.6365, Users in the last 3 months.,Eurostat
2012,Spain,ESP,86.1698, Users in the last 3 months.,Eurostat
2013,Spain,ESP,66.512,,Eurostat
2014,Spain,ESP,86.0784,,Eurostat
2015,Spain,ESP,69.6042,,Eurostat
2016,Spain,ESP,82.6426,,Instituto Nacional de Estadística (INE)
2017,Spain,ESP,74.4668,,Instituto Nacional de Estadística (INE)
2019,Spain,ESP,80.3058,,Instituto Nacional de Estadística (INE)
2020,Spain,ESP,83.9937,,Instituto Nacional de Estadística (INE)
2013,Egypt,EGY,16.7595,,Ministry of Communications and Information Technology
2014,Egypt,EGY,17.9845,,Ministry of Communications and Information Technology
2015,Egypt,EGY,19.6104,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2016,Egypt,EGY,21.8381,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2017,Egypt,EGY,29.3914,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2018,Egypt,EGY,30.2024,,Ministry of Communications and Information Technology
2019,Egypt,EGY,38.0954,,Ministry of Communications and Information Technology
2020,Egypt,EGY,41.267,,Ministry of Communications and Information Technology
2008,Ecuador,ECU,23.4341,"Inc. goods, services and general search",Instituto Nacional de Estadística y Censos (INEC)
2009,Ecuador,ECU,29.9964,"Inc. goods, services and general search",Instituto Nacional de Estadística y Censos (INEC)
2010,Ecuador,ECU,27.1985,"Inc. goods, services and general search",Instituto Nacional de Estadistica y Censos - INEC
2011,Ecuador,ECU,31.116,,Instituto Nacional de Estadistica y Censos - INEC
2012,Ecuador,ECU,35.9907,,Instituto Nacional de Estadistica y Censos - INEC
2004,Estonia,EST,60.6348,Users in the last 3 months.,Eurostat
2005,Estonia,EST,66.9617,Users in the last 3 months.,Eurostat
2006,Estonia,EST,69.6803,Users in the last 3 months.,Eurostat
2007,Estonia,EST,73.2026,Users in the last 3 months.,Eurostat
2008,Estonia,EST,75.3936,Users in the last 3 months.,Eurostat
2009,Estonia,EST,74.5155,Users in the last 3 months.,Eurostat
2010,Estonia,EST,81.6916,Users in the last 3 months.,Eurostat
2011,Estonia,EST,70.5358, Users in the last 3 months.,Eurostat
2012,Estonia,EST,89.7059, Users in the last 3 months.,Eurostat
2013,Estonia,EST,75.0865,,Eurostat
2014,Estonia,EST,89.7164,,Eurostat
2015,Estonia,EST,85.1068,,Eurostat
