year,country,iso,value,note,source
2019,Afghanistan,AFG,Top-down (TD),,
2020,Angola,AGO,Bottom-up (BU),,
2021,Angola,AGO,Other,,
2019,Albania,ALB,Bottom-up (BU),,
2021,Andorra,AND,Top-down (TD),,
2019,Armenia,ARM,Other,,
2020,Armenia,ARM,Other,,
2021,Armenia,ARM,Other,,
2019,Saudi Arabia,SAU,Bottom-up (BU),,
2020,Saudi Arabia,SAU,Bottom-up (BU),,
2021,Saudi Arabia,SAU,Bottom-up (BU),,
2019,Azerbaijan,AZE,Other,,
2021,Burundi,BDI,Other,,
2019,Benin,BEN,Top-down (TD),,
2020,Benin,BEN,Bottom-up (BU),,
2021,Benin,BEN,Bottom-up (BU),,
2020,Belarus,BLR,Hybrid,,
2021,Belarus,BLR,Hybrid,,
2021,Bolivia (Plurinational State of),BOL,Top-down (TD),,
2019,Botswana,BWA,Bottom-up (BU),,
2019,Brunei Darussalam,BRN,Other,,
2020,Brunei Darussalam,BRN,Other,,
2021,Brunei Darussalam,BRN,Top-down (TD),,
2019,Cambodia,KHM,Top-down (TD),,
2020,Cambodia,KHM,Bottom-up (BU),,
2021,Cambodia,KHM,Hybrid,,
2019,Chile,CHL,Bottom-up (BU),,
2020,Chile,CHL,Bottom-up (BU),,
2021,Chile,CHL,Bottom-up (BU),,
2021,China,CHN,Other,,
2019,Sri Lanka,LKA,Hybrid,,
2021,Cameroon,CMR,Hybrid,,
2019,Congo (Rep. of the),COG,Hybrid,,
2021,Congo (Rep. of the),COG,Hybrid,,
2019,Costa Rica,CRI,Other,,
2019,Cyprus,CYP,Other,,
2020,Cyprus,CYP,Top-down (TD),,
2019,Dominican Rep.,DOM,Bottom-up (BU),,
2020,Egypt,EGY,Other,,
2021,Egypt,EGY,Other,,
2019,France,FRA,Other,,
2021,Fiji,FJI,Top-down (TD),,
2019,Gabon,GAB,Bottom-up (BU),,
2021,Gabon,GAB,Bottom-up (BU),,
2019,"Hong Kong, China",HKG,Other,,
2020,"Hong Kong, China",HKG,Other,,
2021,"Hong Kong, China",HKG,Other,,
2019,Honduras,HND,Bottom-up (BU),,
2020,Honduras,HND,Bottom-up (BU),,
2021,Honduras,HND,Bottom-up (BU),,
2021,Indonesia,IDN,Bottom-up (BU),,
2021,Ireland,IRL,Other,,
2019,Iran (Islamic Republic of),IRN,Top-down (TD),,
2019,Iraq,IRQ,Other,,
2019,Iceland,ISL,Other,,
2021,Iceland,ISL,Other,,
2021,Jordan,JOR,Hybrid,,
2019,Kuwait,KWT,Hybrid,,
2020,Kuwait,KWT,Other,,
2021,Kuwait,KWT,Other,,
2021,Lao P.D.R.,LAO,Top-down (TD),,
2020,Saint Lucia,LCA,Bottom-up (BU),,
2021,Saint Lucia,LCA,Bottom-up (BU),,
2019,Lesotho,LSO,Hybrid,,
2021,Lesotho,LSO,Hybrid,,
2021,Mauritius,MUS,Top-down (TD),,
2020,Mali,MLI,Bottom-up (BU),,
2019,Mongolia,MNG,Hybrid,,
2020,Mongolia,MNG,Hybrid,,
2021,Mongolia,MNG,Hybrid,,
2019,Mozambique,MOZ,Hybrid,,
2020,Mozambique,MOZ,Hybrid,,
2021,Mozambique,MOZ,Hybrid,,
2019,Morocco,MAR,Other,,
2019,Malawi,MWI,Bottom-up (BU),,
2021,Malawi,MWI,Bottom-up (BU),,
2021,Nicaragua,NIC,Other,,
2019,Nigeria,NGA,Bottom-up (BU),,
2021,Nigeria,NGA,Hybrid,,
2020,Nepal (Republic of),NPL,Bottom-up (BU),,
2020,Oman,OMN,Top-down (TD),,
2021,Oman,OMN,Top-down (TD),,
2019,Pakistan,PAK,Other,,
2020,Pakistan,PAK,Other,,
2021,Pakistan,PAK,Other,,
2020,Panama,PAN,Other,,
2021,Panama,PAN,Other,,
