year,country,iso,value,note,source
2019,Albania,ALB,0.0599205,,INSTAT (Institute of Statistics)
2020,Albania,ALB,0.264094,,INSTAT (Institute of Statistics)
2017,Saudi Arabia,SAU,9.82705,,Communication and Information Technology Commission (CITC)
2018,Saudi Arabia,SAU,13.4181,,Communication and Information Technology Commission
2017,Austria,AUT,24.0162,,Statistics Austria
2018,Austria,AUT,22.7927,,Statistics Austria
2017,Belgium,BEL,19.1721,,Statbel (Algemene Directie Statistiek - Statistics Belgium) Statbel (Direction générale Statistique - Statistics Belgium)
2019,Belgium,BEL,17.0805,,Statistics Belgium (Statbel)
2020,Belgium,BEL,17.6617,,Statistics Belgium (Statbel)
2018,Bahrain,BHR,1.92895,,Telecommunications Regulatory Authority (TRA)
2017,Bulgaria,BGR,0.946424,,National Statistical Institute
2018,Bulgaria,BGR,1.51016,,National Statistical Institute
2019,Bulgaria,BGR,1.69939,,National Statistical Institute
2020,Bulgaria,BGR,2.6751,,National Statistical Institute
2019,Côte d'Ivoire,CIV,0.241261,,ARTCI
2018,Cyprus,CYP,3.10943,,STATISTICAL SERVICE OF CYPRUS
2019,Cyprus,CYP,3.30713,,STATISTICAL SERVICE OF CYPRUS
2019,Germany,DEU,31.1243,,Statistisches Bundesamt (Destatis)
2021,Germany,DEU,22.8385,,Statistisches Bundesamt (Destatis)
2017,Denmark,DNK,27.244,,Statistics Denmark 
2018,Denmark,DNK,26.547,,Statistics Denmark 
2020,Denmark,DNK,18.0287,,Statistics Denmark
2021,Denmark,DNK,20.4302,,Statistics Denmark
2017,Spain,ESP,12.2302,,Instituto Nacional de Estadística (INE)
2019,Spain,ESP,13.5265,,Instituto Nacional de Estadística (INE)
2020,Spain,ESP,16.199,,Instituto Nacional de Estadística (INE)
2017,Egypt,EGY,0.0660115,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2018,Egypt,EGY,0.0524791,,Ministry of Communications and Information Technology
2019,Egypt,EGY,0.435841,,Ministry of Communications and Information Technology
2017,Estonia,EST,14.3649,,Statistics Estonia
2018,France,FRA,17.4493,,INSEE
2019,France,FRA,18.1541,,Insee
2020,United Kingdom,GBR,35.1058,,Office for National Statistics
