year,country,iso,value,note,source
2018,Saudi Arabia,SAU,6.42189,,Communication and Information Technology Commission
2019,Saudi Arabia,SAU,20.2735,,Communications andI nformation Technology Commision
2018,Bahrain,BHR,61.4265,,Telecommunications Regulatory Authority (TRA)
2019,Cabo Verde,CPV,1.47494,,INSTITUTO NACIONAL DE ESTATISTICA
2019,Côte d'Ivoire,CIV,0.360957,,ARTCI
2015,Egypt,EGY,0.352445,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2016,Egypt,EGY,0.388121,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2017,Egypt,EGY,0.666688,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2018,Egypt,EGY,0.517959,,Ministry of Communications and Information Technology
2019,Egypt,EGY,0.418881,,Ministry of Communications and Information Technology
2020,Egypt,EGY,0.418881,,Ministry of Communications and Information Technology
2015,Iran (Islamic Republic of),IRN,2.76872,,Statistical Centre of Iran
2017,Iran (Islamic Republic of),IRN,4.73661,,Statistical Centre of Iran
2016,Morocco,MAR,0.266668,,Agence Nationale de Réglementation des Télécommunications (ANRT)
2017,Morocco,MAR,5.89948,,Agence Nationale de Réglementation des Télécommunications (ANRT)
2018,Morocco,MAR,1.78173,,Agence Nationale de Réglementation des Télécommunications (ANRT)
2016,Oman,OMN,0.211803,,Information Technology Authority (ITA) 
2018,Qatar,QAT,9.62901,,Ministry Of Transport and Communications
2017,Singapore,SGP,0.175531,,Infocomm Media Development Authority
2018,United Arab Emirates,ARE,4.1,,Telecommunication Regulatory Authority
2019,United Arab Emirates,ARE,7.3013,,Telecommunication Regulatory Authority
2020,Ukraine,UKR,0,,State Statistics Service of Ukraine
2018,Uzbekistan,UZB,0,,The State Committee of the Republic of Uzbekistan on Statistics
2020,Uzbekistan,UZB,0,,The State Committee of the Republic of Uzbekistan on Statistics
2020,Zimbabwe,ZWE,1.86833,,Zimbabwe National Statistics Agency (ZIMSTAT)
2019,Georgia,GEO,3.45397,,National Statistics Office of Georgia - Geostat
2020,Georgia,GEO,3.05349,,National Statistics Office of Georgia - Geostat
2017,Kazakhstan,KAZ,0.993661,,Ministry of National Economy of the Republic of Kazakhstan Committee on Statistics
2018,Kazakhstan,KAZ,0.634955,,Ministry of National Economy of the Republic of Kazakhstan Committee on Statistics
2019,Kazakhstan,KAZ,0.495258,,Ministry of National Economy of the Republic of Kazakhstan Committee on Statistics
2020,Kazakhstan,KAZ,0.385583,,Agency for Strategic planning and reforms of the Republic of Kazakhstan Bureau of National statistics
