year,country,iso,value,note,source
2018,Bahrain,BHR,17.4689,,Telecommunications Regulatory Authority (TRA)
2019,Côte d'Ivoire,CIV,1.81942,,ARTCI
2020,Spain,ESP,51.1641,,Instituto Nacional de Estadística (INE)
2019,Egypt,EGY,7.08251,,Ministry of Communications and Information Technology
2018,Kuwait,KWT,63.2986,,comminucations and information technology regulatory authority
2019,Mexico,MEX,13.3294,,Instituto Nacional de Estadística y Geografía (INEGI)
2020,Mexico,MEX,19.1162,,Instituto Nacional de Estadística y Geografía (INEGI)
2018,Qatar,QAT,24.0051,,Ministry Of Transport and Communications
2019,Thailand,THA,17.4243,,National Statistical Office of Thailand
2020,Thailand,THA,33.457,,National Statistical Office of Thailand
2020,United Arab Emirates,ARE,56.3802,,Telecommunications & Digital Gevernment Regulatory Authority
2020,Zimbabwe,ZWE,0.513395,,Zimbabwe National Statistics Agency (ZIMSTAT)
2019,Palestine,WBG,2.48193,,Palestinian Central Bureau of Statistics
