year,country,iso,value,note,source
2017,Belgium,BEL,33.5286,,Statbel (Algemene Directie Statistiek - Statistics Belgium) Statbel (Direction générale Statistique - Statistics Belgium)
2018,Bahrain,BHR,11.7295,,Telecommunications Regulatory Authority (TRA)
2019,Côte d'Ivoire,CIV,0.117758,,ARTCI
2020,Spain,ESP,35.6841,,Instituto Nacional de Estadística (INE)
2019,Egypt,EGY,2.4863,,Ministry of Communications and Information Technology
2019,Japan,JPN,22.9879,,Ministry of Internal Affairs and Communications
2020,Japan,JPN,21.9815,,Ministry of Internal Affairs and Communications
2019,Lithuania,LTU,9.20184,,Statistics Lithuania
2019,Mexico,MEX,3.51963,,Instituto Nacional de Estadística y Geografía (INEGI)
2020,Mexico,MEX,2.7299,,Instituto Nacional de Estadística y Geografía (INEGI)
2019,Poland,POL,8.56197,,Statistics Poland
2018,Qatar,QAT,6.31514,,Ministry Of Transport and Communications
2017,Czech Republic,CZE,5.93872,,Czech Statistical Office
2019,Thailand,THA,2.4836,,National Statistical Office of Thailand
2020,Thailand,THA,2.77628,,National Statistical Office of Thailand
2020,United Arab Emirates,ARE,7.54492,,Telecommunications & Digital Gevernment Regulatory Authority
2020,Zimbabwe,ZWE,0.206885,,Zimbabwe National Statistics Agency (ZIMSTAT)
2017,Georgia,GEO,0.825535,,Geostat
2019,Palestine,WBG,0.102366,,Palestinian Central Bureau of Statistics
