year,country,iso,value,note,source
2019,Albania,ALB,87.0592,,INSTAT (Institute of Statistics)
2020,Albania,ALB,88.1607,,INSTAT (Institute of Statistics)
2018,Algeria,DZA,72.8151,,"Ministry of Post, Telecommunications, Technologies and Digital"
2017,Saudi Arabia,SAU,86.2309,,Communication and Information Technology Commission (CITC)
2018,Saudi Arabia,SAU,98.9334,,Communication and Information Technology Commission
2019,Saudi Arabia,SAU,99.0241,,Communications andI nformation Technology Commision
2020,Saudi Arabia,SAU,99.1883,,Communications andI nformation Technology Commision
2007,Australia,AUS,43.5202,,Australian Burau of Statistics
2008,Australia,AUS,45.5709,,Australian Burau of Statistics
2009,Australia,AUS,53.6498, Refers to home use only.,Australian Bureau os Statistics
2003,Austria,AUT,46.8009,Users in the last 3 months.,Eurostat
2004,Austria,AUT,51.1535,Users in the last 3 months.,Eurostat
2005,Austria,AUT,54.9647,Users in the last 3 months.,Eurostat
2006,Austria,AUT,61.5509,Users in the last 3 months.,Eurostat
2007,Austria,AUT,64.1729,Users in the last 3 months.,Eurostat
2008,Austria,AUT,66.1274,Users in the last 3 months.,Eurostat
2009,Austria,AUT,65.8693,Users in the last 3 months.,Eurostat
2010,Austria,AUT,70.5246,Users in the last 3 months.,Eurostat
2011,Austria,AUT,74.765, Users in the last 3 months.,Eurostat
2012,Austria,AUT,75.1539, Users in the last 3 months.,Eurostat
2013,Austria,AUT,78.1551,,Eurostat
2014,Austria,AUT,79.2381,,Eurostat
2015,Austria,AUT,81.5478,,Eurostat
2016,Austria,AUT,85.331,,Statistics Austria
2017,Austria,AUT,83.7727,,Statistics Austria
2018,Austria,AUT,86.4511,,Statistics Austria
2008,Azerbaijan,AZE,64.6,,State Statistical Committee
2009,Azerbaijan,AZE,56.5,,State Statistical Committee
2010,Azerbaijan,AZE,46.8702,,State Statistical Committee
2017,Azerbaijan,AZE,80.5,,State Statistical Committee
2018,Azerbaijan,AZE,80.5,,State Statistical Committee
2019,Azerbaijan,AZE,82,,State Statistical Committee
2020,Azerbaijan,AZE,80.9,,State Statistical Committee
2009,Brazil,BRA,57.3599,,Brazilian Steering Committee
2010,Brazil,BRA,59.708,"Information available only for the period ""in the last 3 months"".",
2013,Brazil,BRA,71.1941,,NIC.br
2014,Brazil,BRA,79.5915,,NIC.br
2016,Brazil,BRA,85.9875,,NIC.br
2017,Brazil,BRA,87.1578,,NIC.br
2018,Brazil,BRA,88.6842,,NIC.br
2019,Brazil,BRA,90.2847,,NIC.br
2005,Belgium,BEL,63.8834,Users in the last 3 months.,Eurostat
2006,Belgium,BEL,69.484,Users in the last 3 months.,Eurostat
2007,Belgium,BEL,70.7126,Users in the last 3 months.,Eurostat
2008,Belgium,BEL,71.839,Users in the last 3 months.,Eurostat
2009,Belgium,BEL,73.4433,Users in the last 3 months.,Eurostat
2010,Belgium,BEL,75.0466,Users in the last 3 months.,Eurostat
2011,Belgium,BEL,79.3653, Users in the last 3 months.,Eurostat
