year,country,iso,value,note,source
2019,Afghanistan,AFG,LRIC,,
2020,Angola,AGO,LRIC,,
2019,Albania,ALB,LRAIC,,
2021,Andorra,AND,Fully Distributed Costs,,
2019,Armenia,ARM,Other,,
2020,Armenia,ARM,Other,,
2021,Armenia,ARM,Other,,
2019,Saudi Arabia,SAU,LRIC+,,
2020,Saudi Arabia,SAU,LRIC+,,
2021,Saudi Arabia,SAU,LRIC+,,
2019,Azerbaijan,AZE,Other,,
2021,Burundi,BDI,Other,,
2019,Benin,BEN,LRIC+,,
2020,Benin,BEN,LRIC+,,
2021,Benin,BEN,LRIC+,,
2021,Bahrain,BHR,Fully Distributed Costs,,
2020,Belarus,BLR,Fully Distributed Costs,,
2021,Belarus,BLR,Fully Distributed Costs,,
2019,Botswana,BWA,LRIC,,
2019,Brunei Darussalam,BRN,Other,,
2020,Brunei Darussalam,BRN,Fully Distributed Costs,,
2021,Brunei Darussalam,BRN,Fully Distributed Costs,,
2019,Cambodia,KHM,LRIC,,
2020,Cambodia,KHM,LRIC,,
2021,Cambodia,KHM,Fully Distributed Costs,,
2019,Chile,CHL,LRIC,,
2020,Chile,CHL,LRIC,,
2021,Chile,CHL,LRIC,,
2021,China,CHN,Other,,
2019,Sri Lanka,LKA,Fully Distributed Costs,,
2021,Sri Lanka,LKA,Fully Distributed Costs,,
2019,Congo (Rep. of the),COG,LRIC+,,
2021,Congo (Rep. of the),COG,LRIC+,,
2019,Costa Rica,CRI,Other,,
2019,Cyprus,CYP,Other,,
2020,Cyprus,CYP,Fully Distributed Costs,,
2019,Dominican Rep.,DOM,LRIC,,
2020,Egypt,EGY,Other,,
2021,Ecuador,ECU,Other,,
2019,France,FRA,Other,,
2021,Fiji,FJI,Fully Distributed Costs,,
2019,Gabon,GAB,Fully Distributed Costs,,
2021,Gabon,GAB,Fully Distributed Costs,,
2019,"Hong Kong, China",HKG,Other,,
2020,"Hong Kong, China",HKG,Other,,
2021,"Hong Kong, China",HKG,Other,,
2019,Honduras,HND,LRIC,,
2020,Honduras,HND,LRIC,,
2021,Honduras,HND,LRIC,,
2021,Indonesia,IDN,LRIC+,,
2019,Iran (Islamic Republic of),IRN,Fully Distributed Costs,,
2019,Iraq,IRQ,LRIC,,
2019,Iceland,ISL,Other,,
2021,Iceland,ISL,Other,,
2021,Jordan,JOR,LRIC+,,
2019,Kuwait,KWT,Other,,
2020,Kuwait,KWT,Other,,
2021,Kuwait,KWT,Other,,
2020,Lao P.D.R.,LAO,Fully Distributed Costs,,
2021,Lao P.D.R.,LAO,Fully Distributed Costs,,
2020,Saint Lucia,LCA,LRIC+,,
2021,Saint Lucia,LCA,LRIC+,,
2019,Lesotho,LSO,Fully Distributed Costs,,
2021,Lesotho,LSO,LRIC+,,
2021,Mauritius,MUS,Fully Distributed Costs,,
2020,Mali,MLI,LRIC+,,
2019,Mongolia,MNG,LRIC,,
2020,Mongolia,MNG,LRIC+,,
2021,Mongolia,MNG,LRIC+,,
2019,Mozambique,MOZ,LRAIC,,
2020,Mozambique,MOZ,LRIC+,,
2021,Mozambique,MOZ,LRIC+,,
2019,Morocco,MAR,Other,,
2019,Malawi,MWI,LRIC+,,
2021,Malawi,MWI,LRIC+,,
2021,Nicaragua,NIC,Other,,
2019,Nigeria,NGA,LRIC,,
2021,Nigeria,NGA,LRIC+,,
2020,Nepal (Republic of),NPL,LRIC+,,
2020,Oman,OMN,Fully Distributed Costs,,
2021,Oman,OMN,Fully Distributed Costs,,
2020,Pakistan,PAK,Other,,
2021,Pakistan,PAK,Other,,
2021,Portugal,PRT,Pure LRIC,,
2019,Qatar,QAT,Fully Distributed Costs,,
2020,Qatar,QAT,Fully Distributed Costs,,
2021,Qatar,QAT,Fully Distributed Costs,,
2020,Russian Federation,RUS,Fully Distributed Costs,,
2021,Russian Federation,RUS,Fully Distributed Costs,,
2020,Sweden,SWE,Other,,
2020,Sudan,SDN,LRIC,,
2021,Sudan,SDN,LRIC,,
2019,El Salvador,SLV,Fully Distributed Costs,,
2020,El Salvador,SLV,Fully Distributed Costs,,
2021,El Salvador,SLV,Fully Distributed Costs,,
2019,Samoa,WSM,LRIC+,,
2021,Samoa,WSM,Other,,
2019,Somalia,SOM,Other,,
2021,Somalia,SOM,Other,,
2021,Sierra Leone,SLE,Other,,
2019,Suriname,SUR,Fully Distributed Costs,,
2020,Suriname,SUR,Fully Distributed Costs,,
2021,Suriname,SUR,Fully Distributed Costs,,
2020,Slovenia,SVN,Other,,
2021,Slovenia,SVN,Other,,
2019,Eswatini,SWZ,Other,,
2020,Eswatini,SWZ,Other,,
2021,Eswatini,SWZ,Other,,
2019,Czech Republic,CZE,Other,,
2020,Czech Republic,CZE,Other,,
2021,Czech Republic,CZE,Other,,
2019,Togo,TGO,LRIC+,,
2020,Togo,TGO,Other,,
2021,Togo,TGO,Other,,
2021,Tonga,TON,Other,,
2019,Trinidad and Tobago,TTO,Stand Alone Costs (SAC),,
2021,Tanzania,TZA,Pure LRIC,,
2019,United Arab Emirates,ARE,Pure LRIC,,
2020,United Arab Emirates,ARE,Fully Distributed Costs,,
2021,United Arab Emirates,ARE,Stand Alone Costs (SAC),,
2019,Uganda,UGA,LRIC,,
2019,Saint Vincent and the Grenadines,VCT,LRIC+,,
2020,Saint Vincent and the Grenadines,VCT,LRIC,,
2021,Saint Vincent and the Grenadines,VCT,LRIC,,
2019,Viet Nam,VNM,Fully Distributed Costs,,
2020,Viet Nam,VNM,Fully Distributed Costs,,
2021,Viet Nam,VNM,Fully Distributed Costs,,
2019,Dem. Rep. of the Congo,COD,Pure LRIC,,
2020,Dem. Rep. of the Congo,COD,LRIC+,,
2021,Dem. Rep. of the Congo,COD,LRIC+,,
2019,Zambia,ZMB,Fully Distributed Costs,,
2020,Zambia,ZMB,Fully Distributed Costs,,
2021,Zambia,ZMB,Fully Distributed Costs,,
2019,Zimbabwe,ZWE,LRIC+,,
2020,Zimbabwe,ZWE,LRIC+,,
2021,Zimbabwe,ZWE,LRIC+,,
2019,Slovakia,SVK,Other,,
2019,Montenegro,MNE,LRIC,,
2021,Montenegro,MNE,LRIC,,
