year,country,iso,value,note,source
2014,Afghanistan,AFG,None of the above,,
2018,Afghanistan,AFG,None of the above,,
2019,Afghanistan,AFG,None of the above,,
2020,Afghanistan,AFG,None of the above,,
2015,South Africa,ZAF,None of the above,,
2020,South Africa,ZAF,Refarming is paid from the Licensing Authority’s Resources,,
2020,Angola,AGO,None of the above,,
2014,Albania,ALB,None of the above,,
2015,Albania,ALB,None of the above,,
2016,Albania,ALB,None of the above,,
2017,Albania,ALB,None of the above,,
2018,Albania,ALB,None of the above,,
2019,Albania,ALB,None of the above,,
2020,Albania,ALB,None of the above,,
2016,Algeria,DZA,None of the above,,
2017,Algeria,DZA,None of the above,,
2018,Algeria,DZA,None of the above,,
2019,Algeria,DZA,None of the above,,
2020,Algeria,DZA,None of the above,,
2016,Andorra,AND,None of the above,,
2018,Argentina,ARG,Refarming is paid from the Licensing Authority’s Resources,,
2019,Argentina,ARG,Refarming is paid from the Licensing Authority’s Resources,,
2020,Argentina,ARG,None of the above,,
2013,Armenia,ARM,New comer shall deal directly with migrating users (new license “as is”),,
2014,Armenia,ARM,None of the above,,
2015,Armenia,ARM,None of the above,,
2018,Armenia,ARM,New comer shall deal directly with migrating users (new license “as is”),,
2019,Armenia,ARM,New comer shall deal directly with migrating users (new license “as is”),,
2020,Armenia,ARM,New comer shall deal directly with migrating users (new license “as is”),,
2013,Saudi Arabia,SAU,None of the above,,
2014,Saudi Arabia,SAU,None of the above,,
2015,Saudi Arabia,SAU,New comer shall deal directly with migrating users (new license “as is”),,
2016,Saudi Arabia,SAU,Refarming is paid from the Licensing Authority’s Resources,,
2017,Saudi Arabia,SAU,Refarming is paid from the Licensing Authority’s Resources,,
2018,Saudi Arabia,SAU,Cost of each refarming is explicitly included on fees of the corresponding new licenses,,
2019,Saudi Arabia,SAU,Cost of each refarming is explicitly included on fees of the corresponding new licenses,,
2020,Saudi Arabia,SAU,Cost of each refarming is explicitly included on fees of the corresponding new licenses,,
2013,Australia,AUS,None of the above,,
2015,Australia,AUS,None of the above,,
2017,Australia,AUS,None of the above,,
2018,Australia,AUS,None of the above,,
2019,Australia,AUS,None of the above,,
2020,Australia,AUS,None of the above,,
2013,Austria,AUT,Refarming is paid from the Licensing Authority’s Resources,,
2014,Austria,AUT,Refarming is paid from the Licensing Authority’s Resources,,
2015,Austria,AUT,Refarming is paid from the Licensing Authority’s Resources,,
2016,Austria,AUT,Refarming is paid from the Licensing Authority’s Resources,,
2017,Austria,AUT,Refarming is paid from the Licensing Authority’s Resources,,
2018,Austria,AUT,Refarming is paid from the Licensing Authority’s Resources,,
