year,country,iso,value,note,source
2004,Afghanistan,AFG,"None of the above, ",,
2005,Afghanistan,AFG,"None of the above, ",,
2014,Afghanistan,AFG,President/Head of State,,
2018,Afghanistan,AFG,President/Head of State,,
2019,Afghanistan,AFG,President/Head of State,,
2020,Afghanistan,AFG,President/Head of State,,
1999,South Africa,ZAF,"None of the above, ",,
2003,South Africa,ZAF,"None of the above, ",,
2004,South Africa,ZAF,"None of the above, ",,
2014,South Africa,ZAF,Parliament,,
2015,South Africa,ZAF,Sector Minister,,
2016,South Africa,ZAF,Sector Minister,,
2017,South Africa,ZAF,Sector Minister,,
2018,South Africa,ZAF,Sector Minister,,
2019,South Africa,ZAF,Sector Minister,,
2020,South Africa,ZAF,Sector Minister,,
1999,Angola,AGO,"None of the above, ",,
2000,Angola,AGO,"None of the above, ",,
2001,Angola,AGO,"None of the above, ",,
2002,Angola,AGO,"None of the above, ",,
2003,Angola,AGO,"None of the above, ",,
2004,Angola,AGO,"None of the above, ",,
2007,Angola,AGO,"None of the above, ",,
2008,Angola,AGO,"None of the above, ",,
2018,Angola,AGO,Sector Minister,,
2020,Angola,AGO,Government,,
1999,Albania,ALB,"None of the above, ",,
2000,Albania,ALB,"None of the above, ",,
2003,Albania,ALB,"None of the above, ",,
2004,Albania,ALB,"None of the above, ",,
2005,Albania,ALB,"None of the above, ",,
2006,Albania,ALB,"None of the above, ",,
2009,Albania,ALB,"None of the above, ",,
2014,Albania,ALB,Parliament,,
2015,Albania,ALB,Parliament,,
2016,Albania,ALB,Parliament,,
2017,Albania,ALB,Parliament,,
2018,Albania,ALB,Parliament,,
2019,Albania,ALB,Parliament,,
2020,Albania,ALB,Parliament,,
2004,Algeria,DZA,"None of the above, ",,
2005,Algeria,DZA,"None of the above, ",,
2015,Algeria,DZA,President/Head of State,,
2016,Algeria,DZA,President/Head of State,,
2017,Algeria,DZA,President/Head of State,,
2018,Algeria,DZA,President/Head of State,,
2019,Algeria,DZA,President/Head of State,,
2020,Algeria,DZA,President/Head of State,,
2010,Andorra,AND,Head of Government,,
2011,Andorra,AND,Head of Government,,
2000,Argentina,ARG,"None of the above, ",,
2001,Argentina,ARG,"None of the above, ",,
2003,Argentina,ARG,"None of the above, ",,
2006,Argentina,ARG,"None of the above, ",,
2007,Argentina,ARG,"None of the above, ",,
2008,Argentina,ARG,"None of the above, ",,
2009,Argentina,ARG,"None of the above, ",,
2010,Argentina,ARG,"None of the above, ",,
2015,Argentina,ARG,President/Head of State,,
2017,Argentina,ARG,President/Head of State,,
2018,Argentina,ARG,President/Head of State,,
2019,Argentina,ARG,President/Head of State,,
2020,Argentina,ARG,President/Head of State,,
2013,Armenia,ARM,President/Head of State,,
2014,Armenia,ARM,President/Head of State,,
2015,Armenia,ARM,President/Head of State,,
2016,Armenia,ARM,President/Head of State,,
2018,Armenia,ARM,President/Head of State,,
2019,Armenia,ARM,Parliament,,
2020,Armenia,ARM,Parliament,,
2001,Saudi Arabia,SAU,"None of the above, ",,
2005,Saudi Arabia,SAU,"None of the above, ",,
2006,Saudi Arabia,SAU,"None of the above, ",,
2007,Saudi Arabia,SAU,"None of the above, ",,
2008,Saudi Arabia,SAU,"None of the above, ",,
2012,Saudi Arabia,SAU,President/Head of State,,
2013,Saudi Arabia,SAU,Head of Government,,
2014,Saudi Arabia,SAU,President/Head of State,,
2015,Saudi Arabia,SAU,President/Head of State,,
2016,Saudi Arabia,SAU,President/Head of State,,
2017,Saudi Arabia,SAU,President/Head of State,,
2018,Saudi Arabia,SAU,President/Head of State,,
2019,Saudi Arabia,SAU,President/Head of State,,
2020,Saudi Arabia,SAU,President/Head of State,,
2000,Australia,AUS,"None of the above, ",,
2001,Australia,AUS,"None of the above, ",,
2004,Australia,AUS,"None of the above, ",,
2005,Australia,AUS,"None of the above, ",,
2006,Australia,AUS,"None of the above, ",,
2007,Australia,AUS,"None of the above, ",,
2008,Australia,AUS,"None of the above, ",,
2009,Australia,AUS,"None of the above, ",,
2010,Australia,AUS,"None of the above, ",,
2012,Australia,AUS,Government,,
2013,Australia,AUS,Government,,
2014,Australia,AUS,Government,,
2015,Australia,AUS,Government,,
2017,Australia,AUS,Government,,
2018,Australia,AUS,Government,,
2019,Australia,AUS,Government,,
2020,Australia,AUS,Government,,
1999,Austria,AUT,"None of the above, ",,
2000,Austria,AUT,"None of the above, ",,
2001,Austria,AUT,"None of the above, ",,
2002,Austria,AUT,"None of the above, ",,
2003,Austria,AUT,"None of the above, ",,
