year,country,iso,value,note,source
2016,Afghanistan,AFG,6.06059,,
2018,Algeria,DZA,33.2641,,"Ministry of Post, Telecommunications, Technologies and Digital"
2000,Andorra,AND,36.15,,
2010,Argentina,ARG,53.2633,,INSTITUTO NACIONAL DE ESTADISTICA Y CENSOS (INDEC)
2016,Argentina,ARG,46.5533,,NATIONAL INSTITUTE OF STATISTICS AND CENSUS (INDEC)
2017,Argentina,ARG,44.8071,,NATIONAL INSTITUTE OF STATISTICS AND CENSUS (INDEC)
2016,Armenia,ARM,67.9262,,National statistical service of RA
2019,Armenia,ARM,59.2648,,Statistical Committee of RA
2020,Armenia,ARM,58.1065,,Statistical Committee of RA
2016,Saudi Arabia,SAU,55.4965,,CITC
2017,Saudi Arabia,SAU,70.9,,Communication and Information Technology Commission (CITC)
2018,Saudi Arabia,SAU,68.4329,,Communication and Information Technology Commission
2019,Saudi Arabia,SAU,67.7763,,Communications andI nformation Technology Commision
2020,Saudi Arabia,SAU,73.7932,,Communications andI nformation Technology Commision
2002,Austria,AUT,48.456,Including data for 3 latest months only. ,Eurostat
2003,Austria,AUT,55.5421,Including data for 3 latest months only. ,Eurostat
2004,Austria,AUT,63.2778,Users in the last 12 months.,Eurostat
2005,Austria,AUT,65.9997,Users in the last 12 months.,Eurostat
2006,Austria,AUT,70.4884,Users in the last 12 months.,Eurostat
2007,Austria,AUT,75.1856,Users in the last 12 months.,Eurostat
2008,Austria,AUT,77.7087,Users in the last 12 months.,Eurostat
2009,Austria,AUT,76.454,Users in the last 12 months.,Eurostat
2010,Austria,AUT,77.7532,Users in the last 12 months.,Eurostat
2011,Austria,AUT,80.78, Users in the last 3 months.,Eurostat
2012,Austria,AUT,82.0021, Users in the last 3 months.,Eurostat
2013,Austria,AUT,81.9876,,Eurostat
2014,Austria,AUT,80.9768,,Eurostat
2015,Austria,AUT,83.7915,Last 3 months.,Eurostat
2017,Austria,AUT,85.1962,,Statistics Austria
2008,Azerbaijan,AZE,24.8033,,State Statistical Committee
2009,Azerbaijan,AZE,30.8,,State Statistical Committee
2010,Azerbaijan,AZE,38.0138,,State Statistical Committee
2017,Azerbaijan,AZE,71.7,,State Statistical Committee
2018,Azerbaijan,AZE,71.7,,State Statistical Committee
2019,Azerbaijan,AZE,74.1,,State Statistical Committee
2020,Azerbaijan,AZE,77.5,,State Statistical Committee
2009,Brazil,BRA,43.3148,In the last 3 months.,Brazilian Steering Committee
2010,Brazil,BRA,44.1165,"Information available only for the period ""in the last 3 months"".",
2013,Brazil,BRA,51.3816,,NIC.br
2014,Brazil,BRA,49.5499,,NIC.br
2016,Brazil,BRA,16.1768,,NIC.br
2017,Brazil,BRA,42.4022,,NIC.br
2018,Brazil,BRA,38.6467,,NIC.br
2019,Brazil,BRA,31.2166,,NIC.br
2020,Brazil,BRA,39.8888,,NIC.br
2013,Burundi,BDI,1.72095,,
2014,Burundi,BDI,1.41899,,
2006,Belgium,BEL,68.6095,Users in the last 12 months.,Eurostat
2007,Belgium,BEL,72.135,Users in the last 12 months.,Eurostat
2008,Belgium,BEL,73.6336,Users in the last 12 months.,Eurostat
2009,Belgium,BEL,77.0313,Users in the last 12 months.,Eurostat
2010,Belgium,BEL,80.1499,Users in the last 12 months.,Eurostat
2011,Belgium,BEL,81.55, Users in the last 3 months.,Eurostat
2012,Belgium,BEL,81.7941, Users in the last 3 months.,Eurostat
2013,Belgium,BEL,83.16,,Eurostat
2014,Belgium,BEL,85.2466,,Eurostat
2015,Belgium,BEL,84.4983,Last 3 months.,Eurostat
2016,Belgium,BEL,84.8464,,Algemene Directie Statistiek - Statistics Belgium Direction Générale Statistique - Statistics Belgium
2017,Belgium,BEL,85.3528,,Statbel (Algemene Directie Statistiek - Statistics Belgium) Statbel (Direction générale Statistique - Statistics Belgium)
2013,Bangladesh,BGD,5.55833,,Bangladesh Bureau of Statistics (BBS)
2008,Bahrain,BHR,71.9999,,Telecommunications Regulatory Authority
2011,Bahrain,BHR,76,Estimated based on TRA 2011 Residential consumer survey,Telecommunications Regulatory Authority (TRA)
2012,Bahrain,BHR,78.28,Estimated based on 2011 Number of individuals who used a computer using estimated annual growth rate of 3%,Telecommunications Regulatory Authority (TRA)
2013,Bahrain,BHR,79.1529,,Telecommunications Regulatory Authority (TRA)
2014,Bahrain,BHR,79.1528,,Telecommunications Regulatory Authority (TRA)
2015,Bahrain,BHR,71.3211,,Telecommunications Regulatory Authority (TRA) Bahrain
2019,Bahrain,BHR,94.7525,,Telecommunications Regulatory Authority (TRA)
2020,Bahrain,BHR,95,,Telecommunications Regulatory Authority (TRA)
2013,Belarus,BLR,56.4332,,Национальный статистический комитет Республики Беларусь
2014,Belarus,BLR,61.2154,,Национальный статистический комитет Республики Беларусь
2015,Belarus,BLR,63.6207,during the recent 12 months,Национальный статистический комитет Республики Беларусь
2016,Belarus,BLR,71.5508,during the recent 12 months,Национальный статистический комитет Республики Беларусь
2017,Belarus,BLR,72.4136,,Национальный статистический комитет Республики Беларусь
2018,Belarus,BLR,73.5053,,Национальный статистический комитет Республики Беларусь
2019,Belarus,BLR,75.323,,Национальный статистический комитет Республики Беларусь
2020,Belarus,BLR,73.1594,,Национальный статистический комитет Республики Беларусь
2009,Bolivia (Plurinational State of),BOL,35.6059,,INSTITUTO NACIONAL DE ESTADÍSTICA
2013,Bolivia (Plurinational State of),BOL,40.9579,,INSTITUTO NACIONAL DE ESTADÍSTICA
2014,Bolivia (Plurinational State of),BOL,35.9407,,Statistic National Institute
2018,Bolivia (Plurinational State of),BOL,29.71,,Statistic National Institute
2019,Bolivia (Plurinational State of),BOL,29.387,,Statistic National Institute
2020,Bolivia (Plurinational State of),BOL,27.6257,,Instituto Nacional de Estadística
2014,Botswana,BWA,41.4257,,Statistics Botswana
