year,country,iso,value,note,source
2018,Afghanistan,AFG,Telecommunication/ICT regulatory authority,,
2019,Afghanistan,AFG,Telecommunication/ICT regulatory authority,,
2020,Afghanistan,AFG,Telecommunication/ICT regulatory authority,,
2017,South Africa,ZAF,Both authorities,,
2018,South Africa,ZAF,Both authorities,,
2019,South Africa,ZAF,Both authorities,,
2020,South Africa,ZAF,Both authorities,,
2018,Angola,AGO,Telecommunication/ICT regulatory authority,,
2020,Angola,AGO,Both authorities,,
2017,Albania,ALB,Telecommunication/ICT regulatory authority,,
2018,Albania,ALB,Both authorities,,
2019,Albania,ALB,Both authorities,,
2020,Albania,ALB,Both authorities,,
2017,Algeria,DZA,Telecommunication/ICT regulatory authority,,
2018,Algeria,DZA,Telecommunication/ICT regulatory authority,,
2019,Algeria,DZA,Telecommunication/ICT regulatory authority,,
2020,Algeria,DZA,Telecommunication/ICT regulatory authority,,
2018,Argentina,ARG,Both authorities,,
2019,Argentina,ARG,Both authorities,,
2020,Argentina,ARG,Both authorities,,
2018,Armenia,ARM,Telecommunication/ICT regulatory authority,,
2019,Armenia,ARM,Telecommunication/ICT regulatory authority,,
2020,Armenia,ARM,Telecommunication/ICT regulatory authority,,
2017,Saudi Arabia,SAU,Telecommunication/ICT regulatory authority,,
2018,Saudi Arabia,SAU,Telecommunication/ICT regulatory authority,,
2019,Saudi Arabia,SAU,Telecommunication/ICT regulatory authority,,
2020,Saudi Arabia,SAU,Telecommunication/ICT regulatory authority,,
2017,Australia,AUS,Both authorities,,
2018,Australia,AUS,Both authorities,,
2019,Australia,AUS,Both authorities,,
2020,Australia,AUS,Both authorities,,
2017,Austria,AUT,Both authorities,,
2018,Austria,AUT,Both authorities,,
2019,Austria,AUT,Both authorities,,
2018,Azerbaijan,AZE,Both authorities,,
2019,Azerbaijan,AZE,Both authorities,,
2020,Azerbaijan,AZE,Both authorities,,
2017,Brazil,BRA,Both authorities,,
2018,Brazil,BRA,Both authorities,,
2019,Brazil,BRA,Both authorities,,
2020,Brazil,BRA,Both authorities,,
2018,Bahamas,BHS,Telecommunication/ICT regulatory authority,,
2019,Bahamas,BHS,Telecommunication/ICT regulatory authority,,
