year,country,iso,value,note,source
2018,Afghanistan,AFG,Regional cooperation / agreements,,
2019,Afghanistan,AFG,Website for price comparison,,
2020,Afghanistan,AFG,Website for price comparison,,
2021,Afghanistan,AFG,Website for price comparison,,
2015,South Africa,ZAF,Website for price comparison,,
2017,South Africa,ZAF,Bilateral agreements to reduce IoT,,
2018,South Africa,ZAF,Bilateral agreements to reduce IoT,,
2019,South Africa,ZAF,Bilateral agreements to reduce IoT,,
2021,South Africa,ZAF,Bilateral agreements to reduce IoT,,
2015,Albania,ALB,Other,"MNO-s which are part of large mobile Groups (Vodafone, T-Mobile (Deutsche Telekom) offer ""Roam like at home"" for roaming in other countries (MNO-s part of the same group) ",
2016,Albania,ALB,Other,,
2017,Albania,ALB,Other,,
2018,Albania,ALB,Other,,
2019,Albania,ALB,Other,,
2020,Albania,ALB,Other,,
2021,Albania,ALB,Other,,
2015,Algeria,DZA,Other,,
2018,Algeria,DZA,Commercial activities / promotions,,
2021,Andorra,AND,Bilateral agreements to reduce IoT,,
2015,Armenia,ARM,Commercial activities / promotions,,
2016,Armenia,ARM,Commercial activities / promotions,,
2017,Armenia,ARM,Commercial activities / promotions,,
2018,Armenia,ARM,Commercial activities / promotions,,
2019,Armenia,ARM,Commercial activities / promotions,,
2020,Armenia,ARM,Commercial activities / promotions,,
2021,Armenia,ARM,Commercial activities / promotions,,
2015,Saudi Arabia,SAU,Regional cooperation / agreements,at the GCC level.,
2016,Saudi Arabia,SAU,Regional cooperation / agreements,,
2017,Saudi Arabia,SAU,Regional cooperation / agreements,,
2018,Saudi Arabia,SAU,Regional cooperation / agreements,,
2019,Saudi Arabia,SAU,Regional cooperation / agreements,,
2020,Saudi Arabia,SAU,Regional cooperation / agreements,,
2021,Saudi Arabia,SAU,Regional cooperation / agreements,,
2015,Australia,AUS,Commercial activities / promotions,,
2016,Australia,AUS,Commercial activities / promotions,,
2017,Australia,AUS,Commercial activities / promotions,,
2018,Australia,AUS,Commercial activities / promotions,,
2019,Australia,AUS,Commercial activities / promotions,,
2020,Australia,AUS,Commercial activities / promotions,,
2021,Australia,AUS,Commercial activities / promotions,,
2016,Azerbaijan,AZE,Regional cooperation / agreements,,
2017,Azerbaijan,AZE,Regional cooperation / agreements,,
2018,Azerbaijan,AZE,Regional cooperation / agreements,,
2019,Azerbaijan,AZE,Regional cooperation / agreements,,
2020,Azerbaijan,AZE,Regional cooperation / agreements,,
2017,Brazil,BRA,Commercial activities / promotions,,
2018,Brazil,BRA,Commercial activities / promotions,,
2019,Brazil,BRA,Commercial activities / promotions,,
2020,Brazil,BRA,Commercial activities / promotions,,
2021,Brazil,BRA,Commercial activities / promotions,,
2017,Bahamas,BHS,Other,,
2018,Bahamas,BHS,Other,,
2019,Bahamas,BHS,Other,,
2018,Burundi,BDI,Website for price comparison,,
2019,Burundi,BDI,Website for price comparison,,
2020,Burundi,BDI,Website for price comparison,,
2021,Burundi,BDI,Website for price comparison,,
2015,Belgium,BEL,Bilateral agreements to reduce IoT,,
2016,Benin,BEN,Commercial activities / promotions,,
2017,Benin,BEN,Commercial activities / promotions,,
2019,Benin,BEN,Regional cooperation / agreements,,
2020,Benin,BEN,Regional cooperation / agreements,,
2021,Benin,BEN,Website for price comparison,,
2016,Burkina Faso,BFA,Website for price comparison,,
2017,Burkina Faso,BFA,Website for price comparison,,
2018,Burkina Faso,BFA,Website for price comparison,,
2019,Burkina Faso,BFA,Website for price comparison,,
2020,Burkina Faso,BFA,Commercial activities / promotions,,
2021,Burkina Faso,BFA,Commercial activities / promotions,,
2021,Bahrain,BHR,Commercial activities / promotions,,
2020,Belarus,BLR,Bilateral agreements to reduce IoT,,
2021,Belarus,BLR,Bilateral agreements to reduce IoT,,
2018,Belize,BLZ,Website for price comparison,,
2015,Bolivia (Plurinational State of),BOL,Regional cooperation / agreements,,
2016,Bolivia (Plurinational State of),BOL,Bilateral agreements to reduce IoT,,
2017,Bolivia (Plurinational State of),BOL,Bilateral agreements to reduce IoT,,
2018,Bolivia (Plurinational State of),BOL,Bilateral agreements to reduce IoT,,
2020,Bolivia (Plurinational State of),BOL,Regional cooperation / agreements,,
2021,Bolivia (Plurinational State of),BOL,Regional cooperation / agreements,,
2015,Botswana,BWA,Regional cooperation / agreements,,
2016,Botswana,BWA,Bilateral agreements to reduce IoT,,
2017,Botswana,BWA,Bilateral agreements to reduce IoT,,
2019,Botswana,BWA,Bilateral agreements to reduce IoT,,
2020,Botswana,BWA,Bilateral agreements to reduce IoT,,
2021,Botswana,BWA,Bilateral agreements to reduce IoT,,
2017,Myanmar,MMR,Commercial activities / promotions,,
2018,Myanmar,MMR,Commercial activities / promotions,,
