year,country,iso,value,note,source
2004,Afghanistan,AFG,Mobile operators,,
2005,Afghanistan,AFG,Mobile operators,,
2014,Afghanistan,AFG,Mobile operators,,
2018,Afghanistan,AFG,Mobile operators,,
2019,Afghanistan,AFG,Mobile operators,,
2020,Afghanistan,AFG,Mobile operators,,
2003,South Africa,ZAF,All network/facilities-based operators,,
2004,South Africa,ZAF,All service-based providers,,
2015,South Africa,ZAF,All operators,,
2016,South Africa,ZAF,All operators,,
2017,South Africa,ZAF,All operators,,
2018,South Africa,ZAF,All operators,,
2019,South Africa,ZAF,All operators,,
2020,South Africa,ZAF,All operators,,
2002,Angola,AGO,All network/facilities-based operators,,
2005,Algeria,DZA,Fixed-line operators,,
2015,Algeria,DZA,Fixed-line operators,,
2016,Algeria,DZA,Fixed-line operators,,
2017,Algeria,DZA,Fixed-line operators,,
2018,Algeria,DZA,Fixed-line operators,,
2019,Algeria,DZA,Fixed-line operators,,
2020,Algeria,DZA,Fixed-line operators,,
2007,Argentina,ARG,None of the above,,
2008,Argentina,ARG,None of the above,,
2009,Argentina,ARG,None of the above,,
2010,Argentina,ARG,All operators,,
2018,Argentina,ARG,All operators,,
2019,Argentina,ARG,All operators,,
2020,Argentina,ARG,All operators,,
2006,Saudi Arabia,SAU,All network/facilities-based operators,,
2007,Saudi Arabia,SAU,All network/facilities-based operators,,
2008,Saudi Arabia,SAU,All network/facilities-based operators,,
2010,Saudi Arabia,SAU,None of the above,,
2012,Saudi Arabia,SAU,None,,
2013,Saudi Arabia,SAU,None,,
2014,Saudi Arabia,SAU,None,,
2015,Saudi Arabia,SAU,None,,
2016,Saudi Arabia,SAU,None,,
2017,Saudi Arabia,SAU,None,,
2018,Saudi Arabia,SAU,None,,
2019,Saudi Arabia,SAU,None,,
2020,Saudi Arabia,SAU,None,,
2005,Antigua and Barbuda,ATG,None,,
2004,Australia,AUS,All network/facilities-based operators,,
2005,Australia,AUS,All network/facilities-based operators,,
2006,Australia,AUS,All operators,,
2007,Australia,AUS,All operators,,
2008,Australia,AUS,All operators,,
2009,Australia,AUS,All network/facilities-based operators,,
2010,Australia,AUS,All network/facilities-based operators,,
2012,Australia,AUS,None of the above,,
2013,Australia,AUS,None of the above,,
2014,Australia,AUS,None of the above,,
2015,Australia,AUS,None of the above,,
2017,Australia,AUS,None of the above,,
2018,Australia,AUS,None of the above,,
2019,Australia,AUS,None of the above,,
2020,Australia,AUS,None of the above,,
2006,Azerbaijan,AZE,All operators,,
2010,Azerbaijan,AZE,All operators,,
2014,Azerbaijan,AZE,All operators,,
2015,Azerbaijan,AZE,All operators,,
2016,Azerbaijan,AZE,All operators,,
2017,Azerbaijan,AZE,All operators,,
2018,Azerbaijan,AZE,All operators,,
2019,Azerbaijan,AZE,All operators,,
2020,Azerbaijan,AZE,All operators,,
2003,Brazil,BRA,None of the above,,
2008,Brazil,BRA,All operators,,
2009,Brazil,BRA,All operators,,
2010,Brazil,BRA,All operators,,
2012,Brazil,BRA,None of the above,,
2013,Brazil,BRA,None of the above,,
2014,Brazil,BRA,None of the above,,
2015,Brazil,BRA,None of the above,,
2016,Brazil,BRA,None of the above,,
2017,Brazil,BRA,None of the above,,
2018,Brazil,BRA,None of the above,,
2019,Brazil,BRA,All operators,,
2020,Brazil,BRA,All operators,,
2002,Bahamas,BHS,Fixed-line operators with significant market power/dominance,,
2005,Bahamas,BHS,All operators,,
2019,Burundi,BDI,All operators,,
2020,Burundi,BDI,All operators,,
2003,Belgium,BEL,None of the above,,
2010,Benin,BEN,All operators,,
2014,Benin,BEN,All operators,,
2015,Benin,BEN,All operators,,
2016,Benin,BEN,All operators,,
2017,Benin,BEN,All operators,,
2018,Benin,BEN,All operators,,
2019,Benin,BEN,All operators,,
2020,Benin,BEN,All operators,,
2002,Burkina Faso,BFA,All network/facilities-based operators,,
2004,Burkina Faso,BFA,Incumbent fixed-line operator(s),,
2008,Burkina Faso,BFA,All operators,,
2010,Burkina Faso,BFA,All operators,,
2012,Burkina Faso,BFA,All operators,,
2015,Burkina Faso,BFA,All network/facilities-based operators,,
2017,Burkina Faso,BFA,All operators,,
2018,Burkina Faso,BFA,All operators,,
2019,Burkina Faso,BFA,All operators,,
2013,Bangladesh,BGD,Mobile operators,,
2015,Bangladesh,BGD,Mobile operators,,
2018,Bangladesh,BGD,Mobile operators,,
2007,Belarus,BLR,All operators,,
2013,Belarus,BLR,All operators,,
2018,Belarus,BLR,All operators,,
2019,Belarus,BLR,All operators,,
2020,Belarus,BLR,All operators,,
2019,Bolivia (Plurinational State of),BOL,All operators,,
2019,Botswana,BWA,All network/facilities-based operators,,
2020,Botswana,BWA,All network/facilities-based operators,,
2004,Barbados,BRB,All network/facilities-based operators,,
2005,Barbados,BRB,All network/facilities-based operators,,
