year,country,iso,value,note,source
2000,Andorra,AND,8.95926,,
2016,Armenia,ARM,1.85351,,National statistical service of RA
2019,Armenia,ARM,3.78057,,Statistical Committee of RA
2020,Armenia,ARM,2.6486,,Statistical Committee of RA
2016,Saudi Arabia,SAU,15.1757,,CITC
2017,Saudi Arabia,SAU,12.2801,,Communication and Information Technology Commission (CITC)
2018,Saudi Arabia,SAU,18.6573,,Communication and Information Technology Commission
2019,Saudi Arabia,SAU,17.7268,,Communications andI nformation Technology Commision
2007,Australia,AUS,22.6662,,Australian Burau of Statistics
2008,Australia,AUS,21.6571,,Australian Burau of Statistics
2009,Australia,AUS,20.6425,,Australian Bureau os Statistics
2011,Australia,AUS,20.7357,,Australian Bureau of Statistics
2013,Australia,AUS,22.257,,Australian Bureau of Statistics
2002,Austria,AUT,15.9114,Users in the last 3 months.,Eurostat
2003,Austria,AUT,11.8481,Users in the last 3 months.,Eurostat
2004,Austria,AUT,9.8476,Users in the last 3 months.,Eurostat
2005,Austria,AUT,8.3789,Users in the last 3 months.,Eurostat
2006,Austria,AUT,10.0357,Users in the last 3 months.,Eurostat
2007,Austria,AUT,9.40266,Users in the last 3 months.,Eurostat
2008,Austria,AUT,10.0329,Users in the last 3 months.,Eurostat
2009,Austria,AUT,11.1045,Users in the last 3 months.,Eurostat
2010,Austria,AUT,12.3374,Users in the last 3 months.,Eurostat
2011,Austria,AUT,12.9413, Users in the last 3 months.,Eurostat
2013,Austria,AUT,12.5173,,Eurostat
2008,Azerbaijan,AZE,8.7962,,State Statistical Committee
2009,Azerbaijan,AZE,10.1647,,State Statistical Committee
2010,Azerbaijan,AZE,6.9919,,State Statistical Committee
2017,Azerbaijan,AZE,9.4,,State Statistical Committee
2018,Azerbaijan,AZE,9.40002,,State Statistical Committee
2019,Azerbaijan,AZE,9.9,,State Statistical Committee
2020,Azerbaijan,AZE,9.4,,State Statistical Committee
2009,Brazil,BRA,14.1523,In the last 3 months.,Brazilian Steering Committee
2010,Brazil,BRA,17.233,"Information available only for the period ""in the last 3 months"".",
2013,Brazil,BRA,16.8736,,NIC.br
2014,Brazil,BRA,15.0035,,NIC.br
2016,Brazil,BRA,20.1733,,NIC.br
2017,Brazil,BRA,19.4811,,NIC.br
2018,Brazil,BRA,19.7166,,NIC.br
