year,country,iso,value,note,source
2018,Afghanistan,AFG,Auction,,
2019,Afghanistan,AFG,Auction,,
2020,Afghanistan,AFG,Auction,,
2015,South Africa,ZAF,Other,,
2016,South Africa,ZAF,Other,,
2017,South Africa,ZAF,Other,,
2018,South Africa,ZAF,Other,,
2019,South Africa,ZAF,Other,,
2020,South Africa,ZAF,Other,,
2015,Albania,ALB,Beauty contest/ Tender,,
2016,Albania,ALB,Beauty contest/ Tender,,
2017,Albania,ALB,Beauty contest/ Tender,,
2018,Albania,ALB,Beauty contest/ Tender,,
2019,Albania,ALB,Beauty contest/ Tender,,
2020,Albania,ALB,Beauty contest/ Tender,,
2016,Algeria,DZA,Beauty contest/ Tender,,
2017,Algeria,DZA,Beauty contest/ Tender,,
2018,Algeria,DZA,Beauty contest/ Tender,,
2019,Algeria,DZA,Beauty contest/ Tender,,
2020,Algeria,DZA,Beauty contest/ Tender,,
2016,Andorra,AND,Other,,
2018,Argentina,ARG,Auction,,
2019,Argentina,ARG,Auction,,
2020,Argentina,ARG,Beauty contest/ Tender,,
2015,Armenia,ARM,Beauty contest/ Tender,,
2016,Armenia,ARM,Beauty contest/ Tender,,
2018,Armenia,ARM,Beauty contest/ Tender,,
2019,Armenia,ARM,Beauty contest/ Tender,,
2020,Armenia,ARM,Beauty contest/ Tender,,
2015,Saudi Arabia,SAU,"First come, first served/ spectrum allocated as part of the licence",,
2016,Saudi Arabia,SAU,"First come, first served/ spectrum allocated as part of the licence",,
2017,Saudi Arabia,SAU,Auction,,
2018,Saudi Arabia,SAU,Auction,,
2019,Saudi Arabia,SAU,Auction,,
2020,Saudi Arabia,SAU,Auction,,
2015,Australia,AUS,Auction,,
2017,Australia,AUS,Auction,,
2018,Australia,AUS,Auction,,
2019,Australia,AUS,Auction,,
2020,Australia,AUS,Auction,,
2015,Austria,AUT,Auction,,
2016,Austria,AUT,Auction,,
2017,Austria,AUT,Auction,,
2018,Austria,AUT,Auction,,
2019,Austria,AUT,Auction,,
2015,Azerbaijan,AZE,"First come, first served/ spectrum allocated as part of the licence",,
2016,Azerbaijan,AZE,"First come, first served/ spectrum allocated as part of the licence",,
2017,Azerbaijan,AZE,"First come, first served/ spectrum allocated as part of the licence",,
2018,Azerbaijan,AZE,"First come, first served/ spectrum allocated as part of the licence",,
