year,country,iso,value,note,source
2019,Belgium,BEL,12.3599,,Statistics Belgium (Statbel)
2018,Bahrain,BHR,1.42066,,Telecommunications Regulatory Authority (TRA)
2019,Côte d'Ivoire,CIV,0.252171,,ARTCI
2019,Germany,DEU,18.1752,,Statistisches Bundesamt (Destatis)
2017,Denmark,DNK,23.0336,,Statistics Denmark 
2018,Denmark,DNK,24.4512,,Statistics Denmark 
2017,Spain,ESP,10.1326,,Instituto Nacional de Estadística (INE)
2019,Spain,ESP,17.8121,,Instituto Nacional de Estadística (INE)
2018,Egypt,EGY,0.0339615,,Ministry of Communications and Information Technology
2019,Egypt,EGY,0.12954,,Ministry of Communications and Information Technology
2017,Estonia,EST,14.4171,,Statistics Estonia
2018,"Hong Kong, China",HKG,2.93959,,Census and Statistics Department
2020,"Hong Kong, China",HKG,4.17377,,Census and Statistics Department
2017,Hungary,HUN,13.5126,,Hungarian Central Statistical Office
2018,Hungary,HUN,19.3129,,Hungarian Central Statistical Office 
2020,Croatia,HRV,10.2728,,Croatian Bureau of Statistics
2017,Lithuania,LTU,9.29822,,Statistics Lithuania
2019,Lithuania,LTU,10.9573,,Statistics Lithuania
2018,Mexico,MEX,3.52843,,Instituto Nacional de Estadística y Geografía (INEGI)
2019,Mexico,MEX,4.43318,,Instituto Nacional de Estadística y Geografía (INEGI)
2020,Mexico,MEX,0.646813,,Instituto Nacional de Estadística y Geografía (INEGI)
2017,Malta,MLT,14.5381,,National Statistics Office
2020,Norway,NOR,11.5746,,Statistics Norway
2017,Portugal,PRT,8.15198,,Statistics Portugal
2018,Portugal,PRT,6.80601,,Statistics Portugal
2019,Portugal,PRT,9.12702,,Statistics Portugal
2020,Portugal,PRT,6.29817,,Statistics Portugal
2018,Qatar,QAT,2.35655,,Ministry Of Transport and Communications
2017,Russian Federation,RUS,4.23148,,Federal State Statistics Service (ROSSTAT)
2019,Russian Federation,RUS,6.71858,,Federal State Statistics Service (Rosstat) 
2020,Russian Federation,RUS,7.31252,,Federal State Statistics Service
2017,Sweden,SWE,27.0887,,Statistics Sweden (Statistiska centralbyrån )
2017,Switzerland,CHE,21.0168,,Office fédéral de la statistique
2019,Switzerland,CHE,22.6188,,Office fédéral de la statistique
2019,Thailand,THA,2.05026,,National Statistical Office of Thailand
2020,Thailand,THA,3.46949,,National Statistical Office of Thailand
2020,United Arab Emirates,ARE,2.66798,,Telecommunications & Digital Gevernment Regulatory Authority
2020,Zimbabwe,ZWE,0.123883,,Zimbabwe National Statistics Agency (ZIMSTAT)
2019,Bosnia and Herzegovina,BIH,3.47805,,Agency for statistics of Bosnia and Herzegovina
2017,Georgia,GEO,1.60905,,Geostat
2018,Georgia,GEO,1.57549,,National Statistics Office of Georgia - GEOSTAT
2019,Georgia,GEO,1.76623,,National Statistics Office of Georgia - Geostat
2020,Georgia,GEO,2.02351,,National Statistics Office of Georgia - Geostat
2017,North Macedonia,MKD,3.00791,,State Statistical Office
2018,North Macedonia,MKD,1.3731,,State Statistical Office
2019,Palestine,WBG,0.0449914,,Palestinian Central Bureau of Statistics
