year,country,iso,value,note,source
2021,Afghanistan,AFG,Commercial agreements,,
2018,South Africa,ZAF,Regulation,,
2021,South Africa,ZAF,Both,,
2020,Angola,AGO,Regulation,,
2018,Albania,ALB,Commercial agreements,,
2018,Andorra,AND,Regulation,,
2018,Argentina,ARG,Regulation,,
2019,Argentina,ARG,Both,,
2021,Argentina,ARG,Regulation,Se permite en determinados lugares hasta tanto los operadores completen los despliegues comprometidos,
2018,Saudi Arabia,SAU,Both,,
2019,Saudi Arabia,SAU,Both,,
2021,Saudi Arabia,SAU,Both,,
2018,Australia,AUS,Both,,
2019,Australia,AUS,Commercial agreements,,
2020,Australia,AUS,Regulation,,
2021,Australia,AUS,Regulation,,
2020,Azerbaijan,AZE,Regulation,,
2018,Brazil,BRA,Both,,
2019,Brazil,BRA,Both,,
2020,Brazil,BRA,Both,,
2021,Brazil,BRA,Both,,
2021,Burundi,BDI,Both,,
2020,Benin,BEN,Regulation,,
2021,Benin,BEN,Regulation,,
2021,Burkina Faso,BFA,Regulation,,
2019,Botswana,BWA,Regulation,,
2018,Brunei Darussalam,BRN,Both,,
2018,Bulgaria,BGR,Both,,
2019,Bulgaria,BGR,Both,,
2020,Bulgaria,BGR,Commercial agreements,,
2021,Bulgaria,BGR,Commercial agreements,,
2019,Cambodia,KHM,Commercial agreements,,
2020,Cambodia,KHM,Regulation,,
2021,Cambodia,KHM,Regulation,,
2021,China,CHN,Both,,
2020,Colombia,COL,Both,,
2021,Colombia,COL,Both,,
2018,Congo (Rep. of the),COG,Both,,
2019,Congo (Rep. of the),COG,Both,,
2021,Congo (Rep. of the),COG,Regulation,,
2019,Costa Rica,CRI,Regulation,,
2020,Costa Rica,CRI,Regulation,,
2021,Costa Rica,CRI,Regulation,,
2018,Cuba,CUB,Regulation,,
2019,Cuba,CUB,Regulation,,
2020,Cuba,CUB,Regulation,,
2021,Cuba,CUB,Regulation,,
2018,Djibouti,DJI,Regulation,,
2019,Spain,ESP,Commercial agreements,,
2020,Spain,ESP,Commercial agreements,,
2021,Spain,ESP,Commercial agreements,,
2020,Estonia,EST,Commercial agreements,,
2021,Estonia,EST,Commercial agreements,,
2018,France,FRA,Commercial agreements,,
2019,France,FRA,Commercial agreements,,
2020,France,FRA,Commercial agreements,,
2021,France,FRA,Commercial agreements,,
2018,Finland,FIN,Both,,
2019,Finland,FIN,Both,,
2021,Finland,FIN,Commercial agreements,,
2020,Guinea-Bissau,GNB,Regulation,,
2021,Guinea-Bissau,GNB,Regulation,,
2021,Equatorial Guinea,GNQ,Both,,
2018,Greece,GRC,Commercial agreements,,
2019,Greece,GRC,Regulation,,
2018,Guatemala,GTM,Commercial agreements,,
2019,Guatemala,GTM,Both,,
2020,Guatemala,GTM,Both,,
2021,Guatemala,GTM,Both,,
2018,Guyana,GUY,Commercial agreements,,
2019,"Hong Kong, China",HKG,Regulation,,
2020,"Hong Kong, China",HKG,Regulation,,
2021,"Hong Kong, China",HKG,Regulation,,
2020,Honduras,HND,Commercial agreements,,
2021,Honduras,HND,Commercial agreements,,
2019,Hungary,HUN,Commercial agreements,,
2021,Netherlands,NLD,Commercial agreements,,
2018,Haiti,HTI,Commercial agreements,,
2018,Italy,ITA,Both,,
2019,Italy,ITA,Both,,
2021,Italy,ITA,Both,,
2018,India,IND,Commercial agreements,,
2018,Ireland,IRL,Both,,
2018,Iran (Islamic Republic of),IRN,Both,,
2019,Iran (Islamic Republic of),IRN,Commercial agreements,,
2018,Iceland,ISL,Commercial agreements,,
2019,Iceland,ISL,Commercial agreements,,
2020,Iceland,ISL,Commercial agreements,,
2021,Iceland,ISL,Commercial agreements,,
2018,Israel,ISR,Both,,
2021,Israel,ISR,Both,,
2019,Kenya,KEN,Both,,
2020,Korea (Rep. of),KOR,Regulation,,
2021,Kuwait,KWT,Both,,
2021,Lao P.D.R.,LAO,Commercial agreements,,
2018,Liberia,LBR,Commercial agreements,"Question 8.9 . it is allowed based on commercial agreement, but it is not practiced ",
2021,Liberia,LBR,Commercial agreements,,
2020,Liechtenstein,LIE,Commercial agreements,,
2021,Liechtenstein,LIE,Commercial agreements,,
2019,Lesotho,LSO,Both,,
2019,Lithuania,LTU,Regulation,,
2019,Mexico,MEX,Regulation,,
2021,Mexico,MEX,Commercial agreements,,
2018,Malaysia,MYS,Commercial agreements,,
2019,Malaysia,MYS,Commercial agreements,,
2020,Malaysia,MYS,Commercial agreements,,
2021,Malaysia,MYS,Commercial agreements,,
2019,Mozambique,MOZ,Commercial agreements,,
2020,Mozambique,MOZ,Both,,
2021,Mozambique,MOZ,Both,,
2019,Mauritania,MRT,Regulation,,
2020,Mauritania,MRT,Both,,
2019,Nigeria,NGA,Commercial agreements,,
2020,Namibia,NAM,Both,,
