year,country,iso,value,note,source
2013,South Africa,ZAF,0.108734,,Statistics South Africa
2014,South Africa,ZAF,0.180051,,
2016,South Africa,ZAF,0.307997,,
2018,Algeria,DZA,25.728,,"Ministry of Post, Telecommunications, Technologies and Digital"
2017,Saudi Arabia,SAU,4.70084,,Communication and Information Technology Commission (CITC)
2018,Saudi Arabia,SAU,9.85535,,Communication and Information Technology Commission
2019,Saudi Arabia,SAU,8.1613,,Communications andI nformation Technology Commision
2017,Azerbaijan,AZE,1.93858,,State Statistical Committee
2018,Azerbaijan,AZE,1.93867,,State Statistical Committee
2019,Azerbaijan,AZE,2.58337,,State Statistical Committee
2020,Azerbaijan,AZE,7.60006,,State Statistical Committee
2013,Brazil,BRA,3.78124,,NIC.br
2014,Brazil,BRA,5.79325,,NIC.br
2016,Brazil,BRA,36.7489,,NIC.br
2017,Brazil,BRA,37.3734,,NIC.br
2018,Brazil,BRA,40.9834,,NIC.br
2019,Brazil,BRA,39.7598,,NIC.br
2020,Brazil,BRA,42.4389,,NIC.br
2019,Belgium,BEL,7.95109,,Statistics Belgium (Statbel)
2020,Belgium,BEL,6.10101,,Statistics Belgium (Statbel)
2015,Bermuda,BMU,1.00069,,Department of Statistics
2016,Bermuda,BMU,12.5094,,Bermuda Government - Department of Statistics
2013,Bahrain,BHR,4.48523,,Telecommunications Regulatory Authority (TRA)
2014,Bahrain,BHR,4.48523,,Telecommunications Regulatory Authority (TRA)
2015,Bahrain,BHR,0.418182,,Telecommunications Regulatory Authority (TRA) Bahrain
2016,Bahrain,BHR,3.07861,,Telecommunications Regulatory Authority (TRA)
2017,Bahrain,BHR,16.0014,,Telecommunications Regulatory Authority (TRA)
2018,Bahrain,BHR,38.0872,,Telecommunications Regulatory Authority (TRA)
2016,Brunei Darussalam,BRN,20.0023,,Authority for Info-communications Technology Industry of Brunei Darussalam
2021,Bhutan,BTN,1.92371,,MINISTRY OF INFORMATION AND COMMUNICATIONS
2013,Colombia,COL,1.39096,,Departamento Administrativo Nacional de Estadística - DANE
2018,Cabo Verde,CPV,1.94739,,INSTITUTO NACIONAL DE ESTATISTICAS
2019,Cabo Verde,CPV,0.284139,,INSTITUTO NACIONAL DE ESTATISTICA
2019,Côte d'Ivoire,CIV,0.781289,,ARTCI
2014,Egypt,EGY,0.235932,,Ministry of Communications and Information Technology
2015,Egypt,EGY,2.18796,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2016,Egypt,EGY,4.62978,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2017,Egypt,EGY,5.08034,,Central Agency For Public Mobilization And Statistics (CAPMAS)
2018,Egypt,EGY,5.15614,,Ministry of Communications and Information Technology
2019,Egypt,EGY,5.10846,,Ministry of Communications and Information Technology
2020,Egypt,EGY,5.10846,,Ministry of Communications and Information Technology
2013,Iran (Islamic Republic of),IRN,1.53783,,Statistical Centre of Iran
2015,Iran (Islamic Republic of),IRN,1.72309,,Statistical Centre of Iran
2017,Iran (Islamic Republic of),IRN,5.45738,,Statistical Centre of Iran
2015,Kenya,KEN,0.104551,,KENYA NATIONAL BUREAU OF STATISTICS
2013,Korea (Rep. of),KOR,0.0119903,,"Ministry of Science, ICT & Future Planning(MSIP)"
2015,Korea (Rep. of),KOR,0,,"Ministry of Science, ICT & Future Planning(MSIP)"
2016,Korea (Rep. of),KOR,0,,Ministry of Science and ICT(MSIT)
2017,Korea (Rep. of),KOR,0.742426,,Ministriy of Sceience and ICT(MSIT)
2018,Korea (Rep. of),KOR,5.59334,,Ministriy of Sceience and ICT(MSIT)
2019,Korea (Rep. of),KOR,0,,Ministriy of Sceience and ICT(MSIT)
2020,Korea (Rep. of),KOR,0,,Ministriy of Sceience and ICT(MSIT)
2014,Mauritius,MUS,1.57529,,Statistics Mauritius
2018,Mauritius,MUS,0.93757,,Statistics Mauritius
2020,Mauritius,MUS,0.668726,,Statistics Mauritius
2019,Malaysia,MYS,15.8466,,"Department of Statistics, Malaysia"
2020,Malaysia,MYS,17.8765,,"Department of Statistics, Malaysia"
2013,Morocco,MAR,1.67285,,AGENCE NATIONALE DE REGLEMENTATION DES TELECOMMUJNICATIONS
2014,Morocco,MAR,2.77944,,AGENCE NATIONALE DE REGLEMENTATION DES TELECOMMUJNICATIONS
2015,Morocco,MAR,0.33507,,Agence Nationale de Réglementation des Télécommunications (ANRT)
2016,Morocco,MAR,2.60255,,Agence Nationale de Réglementation des Télécommunications (ANRT)
